k,boot,Method,Silhouette
10,10,HC-Ward,0.1292265095987729
10,10,CLARA,0.1627019874116021
12,10,K-Means,0.169216907728589
12,10,HC-Ward,0.12141099782590835
12,10,CLARA,0.14294707078624933
15,10,K-Means,0.17366717951244207
15,10,HC-Ward,0.12145493792282228
15,10,CLARA,0.1452152744248955
19,10,K-Means,0.16557747165805528
19,10,HC-Ward,0.11718898918705759
19,10,CLARA,0.13986451093674498
24,10,K-Means,0.17147393946881048
24,10,HC-Ward,0.11381427826877297
24,10,CLARA,0.13570138180335412
30,10,K-Means,0.17014309804281563
30,10,HC-Ward,0.10931563831282523
30,10,CLARA,0.1306539222270494
38,10,K-Means,0.16532814818448807
38,10,HC-Ward,0.11157387503083303
38,10,CLARA,0.12724677072821142
48,10,K-Means,0.16677757060577966
48,10,HC-Ward,0.1127004413146923
48,10,CLARA,0.1263749741008949
6,11,K-Means,0.19801115576545625
6,11,HC-Ward,0.13941439175317402
6,11,CLARA,0.17543412204814368
8,11,K-Means,0.18406595195863668
8,11,HC-Ward,0.14173522003471603
8,11,CLARA,0.15172313702740334
10,11,K-Means,0.1840487548815826
10,11,HC-Ward,0.09234450612923056
10,11,CLARA,0.16185422248450348
12,11,K-Means,0.169216907728589
12,11,HC-Ward,0.12141099782590835
12,11,CLARA,0.14294707078624933
15,11,K-Means,0.1732530423356691
15,11,HC-Ward,0.1087898731293607
15,11,CLARA,0.14286193091578606
19,11,K-Means,0.16905648293713546
19,11,HC-Ward,0.11451720722787365
19,11,CLARA,0.14518862228662327
24,11,K-Means,0.1729617448107659
24,11,HC-Ward,0.11930902171471752
24,11,CLARA,0.1376552874956542
30,11,K-Means,0.16826426908565786
30,11,HC-Ward,0.1209326229061444
30,11,CLARA,0.12671314856928304
38,11,K-Means,0.1660656297958005
38,11,HC-Ward,0.12271588407642409
38,11,CLARA,0.12766674279657483
48,11,K-Means,0.1696123301640887
48,11,HC-Ward,0.11711224772894457
48,11,CLARA,0.1275284429927942
6,12,K-Means,0.19645623011539617
6,12,HC-Ward,0.1113480451748898
6,12,CLARA,0.17197080945384885
8,12,K-Means,0.18497018369015128
8,12,HC-Ward,0.1340731298923667
8,12,CLARA,0.1544132427595582
10,12,K-Means,0.1849359738423722
10,12,HC-Ward,0.10571595669909174
10,12,CLARA,0.16194631972264997
12,12,K-Means,0.17253314090216573
12,12,HC-Ward,0.11488005322314379
12,12,CLARA,0.14293710971289667
15,12,K-Means,0.17062427901357233
15,12,HC-Ward,0.11996716737938058
15,12,CLARA,0.14380812314436325
19,12,K-Means,0.16774633177741682
19,12,HC-Ward,0.12119621611551659
19,12,CLARA,0.14264743202530245
24,12,K-Means,0.1729617448107659
24,12,HC-Ward,0.11930902171471752
24,12,CLARA,0.1376552874956542
30,12,K-Means,0.16826426908565786
30,12,HC-Ward,0.1209326229061444
30,12,CLARA,0.12671314856928304
38,12,K-Means,0.168270424415697
38,12,HC-Ward,0.11126608038243632
38,12,CLARA,0.12547411184235424
48,12,K-Means,0.16764700567213534
48,12,HC-Ward,0.11832867507621948
48,12,CLARA,0.12905664438921574
6,13,K-Means,0.19607928663251062
6,13,HC-Ward,0.1441579902109607
6,13,CLARA,0.17260056289589898
8,13,K-Means,0.18406595195863668
8,13,HC-Ward,0.14173522003471603
8,13,CLARA,0.15172313702740334
10,13,K-Means,0.18597393530638653
10,13,HC-Ward,0.1292265095987729
10,13,CLARA,0.1627019874116021
12,13,K-Means,0.170063147590553
12,13,HC-Ward,0.10054305656094965
12,13,CLARA,0.14217375133801874
15,13,K-Means,0.17062427901357233
15,13,HC-Ward,0.11996716737938058
15,13,CLARA,0.14380812314436325
19,13,K-Means,0.16509908160207507
19,13,HC-Ward,0.12145337449727359
19,13,CLARA,0.14040620241193846
24,13,K-Means,0.1715778974211972
24,13,HC-Ward,0.11329129269440771
24,13,CLARA,0.1348294101641159
30,13,K-Means,0.17014309804281563
30,13,HC-Ward,0.10931563831282523
30,13,CLARA,0.1306539222270494
38,13,K-Means,0.1669248831364587
38,13,HC-Ward,0.11277515497615555
38,13,CLARA,0.12951647857996543
48,13,K-Means,0.16584831549836565
48,13,HC-Ward,0.11643117383297573
48,13,CLARA,0.12802358148002388
6,14,K-Means,0.19402920749031058
6,14,HC-Ward,0.1406183960871107
6,14,CLARA,0.17193521931556038
8,14,K-Means,0.1835319199965702
8,14,HC-Ward,0.1366339162201868
8,14,CLARA,0.1544454667706764
10,14,K-Means,0.1849359738423722
10,14,HC-Ward,0.10571595669909174
10,14,CLARA,0.16194631972264997
12,14,K-Means,0.169216907728589
12,14,HC-Ward,0.12141099782590835
12,14,CLARA,0.14294707078624933
15,14,K-Means,0.16974813433449656
15,14,HC-Ward,0.11298487928505593
15,14,CLARA,0.14410825212716813
19,14,K-Means,0.16771684556242947
19,14,HC-Ward,0.10951868556329489
19,14,CLARA,0.13933351459734264
24,14,K-Means,0.17183416515088704
24,14,HC-Ward,0.11903885293928608
24,14,CLARA,0.1378081686522624
30,14,K-Means,0.1684994993680787
30,14,HC-Ward,0.11878014611928167
30,14,CLARA,0.12707430066189973
38,14,K-Means,0.168270424415697
38,14,HC-Ward,0.11126608038243632
38,14,CLARA,0.12547411184235424
48,14,K-Means,0.16584831549836565
48,14,HC-Ward,0.11643117383297573
48,14,CLARA,0.12802358148002388
6,15,K-Means,0.19490804034027726
6,15,HC-Ward,0.15109095418279073
6,15,CLARA,0.17411439768978992
8,15,K-Means,0.18510081073408485
8,15,HC-Ward,0.13814700603514712
8,15,CLARA,0.15663358408363479
10,15,K-Means,0.1849359738423722
10,15,HC-Ward,0.10571595669909174
10,15,CLARA,0.16194631972264997
12,15,K-Means,0.17253314090216573
12,15,HC-Ward,0.11488005322314379
12,15,CLARA,0.14293710971289667
15,15,K-Means,0.1732530423356691
15,15,HC-Ward,0.1087898731293607
15,15,CLARA,0.14286193091578606
19,15,K-Means,0.16774633177741682
19,15,HC-Ward,0.12119621611551659
19,15,CLARA,0.14264743202530245
24,15,K-Means,0.17147393946881048
24,15,HC-Ward,0.11381427826877297
24,15,CLARA,0.13570138180335412
30,15,K-Means,0.17014309804281563
30,15,HC-Ward,0.10931563831282523
30,15,CLARA,0.1306539222270494
38,15,K-Means,0.16703583300873534
38,15,HC-Ward,0.11292994034416297
38,15,CLARA,0.12661033453872336
48,15,K-Means,0.16967376526654673
48,15,HC-Ward,0.11390641424124398
48,15,CLARA,0.1276081280556401
6,16,K-Means,0.19007473140259998
6,16,HC-Ward,0.14228711700800353
6,16,CLARA,0.1702262787873246
8,16,K-Means,0.1850664702009697
8,16,HC-Ward,0.12783058398594146
8,16,CLARA,0.1557806374726221
10,16,K-Means,0.1856640195923782
10,16,HC-Ward,0.13144756746484362
10,16,CLARA,0.16003337771962808
12,16,K-Means,0.17253314090216573
12,16,HC-Ward,0.11488005322314379
12,16,CLARA,0.14293710971289667
15,16,K-Means,0.16974813433449656
15,16,HC-Ward,0.11298487928505593
15,16,CLARA,0.14410825212716813
19,16,K-Means,0.16774633177741682
19,16,HC-Ward,0.12119621611551659
19,16,CLARA,0.14264743202530245
24,16,K-Means,0.171561992098863
24,16,HC-Ward,0.11470057717406074
24,16,CLARA,0.13544721898262738
30,16,K-Means,0.17014309804281563
30,16,HC-Ward,0.10931563831282523
30,16,CLARA,0.1306539222270494
38,16,K-Means,0.1669248831364587
38,16,HC-Ward,0.11277515497615555
38,16,CLARA,0.12951647857996543
48,16,K-Means,0.16764700567213534
48,16,HC-Ward,0.11832867507621948
48,16,CLARA,0.12905664438921574
6,17,K-Means,0.19607928663251062
6,17,HC-Ward,0.1441579902109607
6,17,CLARA,0.17260056289589898
8,17,K-Means,0.1850664702009697
8,17,HC-Ward,0.12783058398594146
8,17,CLARA,0.1557806374726221
10,17,K-Means,0.185847868586608
10,17,HC-Ward,0.13613702209993536
10,17,CLARA,0.16041733244675635
12,17,K-Means,0.16910918326533017
12,17,HC-Ward,0.12590569992265846
12,17,CLARA,0.14221022799150695
15,17,K-Means,0.16880375540751746
15,17,HC-Ward,0.12176716339312203
15,17,CLARA,0.14708985379614514
19,17,K-Means,0.16771684556242947
19,17,HC-Ward,0.10951868556329489
19,17,CLARA,0.13933351459734264
24,17,K-Means,0.1715778974211972
24,17,HC-Ward,0.11329129269440771
24,17,CLARA,0.1348294101641159
30,17,K-Means,0.1660190277056644
30,17,HC-Ward,0.11671474093297239
30,17,CLARA,0.12786236827357425
38,17,K-Means,0.1658536193636011
38,17,HC-Ward,0.12587635705412167
38,17,CLARA,0.12539685934192024
48,17,K-Means,0.1696123301640887
48,17,HC-Ward,0.11711224772894457
48,17,CLARA,0.1275284429927942
6,18,K-Means,0.19490804034027726
6,18,HC-Ward,0.15109095418279073
6,18,CLARA,0.17411439768978992
8,18,K-Means,0.18521386667594758
8,18,HC-Ward,0.13816030066095955
8,18,CLARA,0.15260650431777215
10,18,K-Means,0.18610003207355605
10,18,HC-Ward,0.14132804682810385
10,18,CLARA,0.1616811531213589
12,18,K-Means,0.17253314090216573
12,18,HC-Ward,0.11488005322314379
12,18,CLARA,0.14293710971289667
15,18,K-Means,0.17388645064520977
15,18,HC-Ward,0.11340690981514409
15,18,CLARA,0.14454656873419697
19,18,K-Means,0.16843111849191897
19,18,HC-Ward,0.12155497768124415
19,18,CLARA,0.14055656793420512
24,18,K-Means,0.17147393946881048
24,18,HC-Ward,0.11381427826877297
24,18,CLARA,0.13570138180335412
30,18,K-Means,0.16826426908565786
30,18,HC-Ward,0.1209326229061444
30,18,CLARA,0.12671314856928304
38,18,K-Means,0.168270424415697
38,18,HC-Ward,0.11126608038243632
38,18,CLARA,0.12547411184235424
48,18,K-Means,0.16773586474815255
48,18,HC-Ward,0.10899634313820784
48,18,CLARA,0.12747570303352396
6,19,K-Means,0.19007473140259998
6,19,HC-Ward,0.14228711700800353
6,19,CLARA,0.1702262787873246
8,19,K-Means,0.1850664702009697
8,19,HC-Ward,0.12783058398594146
8,19,CLARA,0.1557806374726221
10,19,K-Means,0.1856640195923782
10,19,HC-Ward,0.13144756746484362
10,19,CLARA,0.16003337771962808
12,19,K-Means,0.17253314090216573
12,19,HC-Ward,0.11488005322314379
12,19,CLARA,0.14293710971289667
15,19,K-Means,0.17388645064520977
15,19,HC-Ward,0.11340690981514409
15,19,CLARA,0.14454656873419697
19,19,K-Means,0.16557747165805528
19,19,HC-Ward,0.11718898918705759
19,19,CLARA,0.13986451093674498
24,19,K-Means,0.1729617448107659
24,19,HC-Ward,0.11930902171471752
24,19,CLARA,0.1376552874956542
30,19,K-Means,0.17014309804281563
30,19,HC-Ward,0.10931563831282523
30,19,CLARA,0.1306539222270494
38,19,K-Means,0.16657520915950358
38,19,HC-Ward,0.11810742696849566
38,19,CLARA,0.12620624246866008
48,19,K-Means,0.16820133588786165
48,19,HC-Ward,0.11714487410091277
48,19,CLARA,0.12843609076269583
6,20,K-Means,0.19645623011539617
6,20,HC-Ward,0.1113480451748898
6,20,CLARA,0.17197080945384885
8,20,K-Means,0.18497018369015128
8,20,HC-Ward,0.1340731298923667
8,20,CLARA,0.1544132427595582
10,20,K-Means,0.1849359738423722
10,20,HC-Ward,0.10571595669909174
10,20,CLARA,0.16194631972264997
12,20,K-Means,0.17253314090216573
12,20,HC-Ward,0.11488005322314379
12,20,CLARA,0.14293710971289667
15,20,K-Means,0.1732530423356691
15,20,HC-Ward,0.1087898731293607
15,20,CLARA,0.14286193091578606
19,20,K-Means,0.16905648293713546
19,20,HC-Ward,0.11451720722787365
19,20,CLARA,0.14518862228662327
24,20,K-Means,0.17147393946881048
24,20,HC-Ward,0.11381427826877297
24,20,CLARA,0.13570138180335412
30,20,K-Means,0.1684994993680787
30,20,HC-Ward,0.11878014611928167
30,20,CLARA,0.12707430066189973
38,20,K-Means,0.16656698174822188
38,20,HC-Ward,0.12429973942618565
38,20,CLARA,0.12711695022097794
48,20,K-Means,0.16967376526654673
48,20,HC-Ward,0.11390641424124398
48,20,CLARA,0.1276081280556401
6,21,K-Means,0.19426477371139533
6,21,HC-Ward,0.12973962837077396
6,21,CLARA,0.1707413501193071
8,21,K-Means,0.18510081073408485
8,21,HC-Ward,0.13814700603514712
8,21,CLARA,0.15663358408363479
10,21,K-Means,0.1849359738423722
10,21,HC-Ward,0.10571595669909174
10,21,CLARA,0.16194631972264997
12,21,K-Means,0.17253314090216573
12,21,HC-Ward,0.11488005322314379
12,21,CLARA,0.14293710971289667
15,21,K-Means,0.17062427901357233
15,21,HC-Ward,0.11996716737938058
15,21,CLARA,0.14380812314436325
19,21,K-Means,0.16771684556242947
19,21,HC-Ward,0.10951868556329489
19,21,CLARA,0.13933351459734264
24,21,K-Means,0.17183416515088704
24,21,HC-Ward,0.11903885293928608
24,21,CLARA,0.1378081686522624
30,21,K-Means,0.17014309804281563
30,21,HC-Ward,0.10931563831282523
30,21,CLARA,0.1306539222270494
38,21,K-Means,0.1669248831364587
38,21,HC-Ward,0.11277515497615555
38,21,CLARA,0.12951647857996543
48,21,K-Means,0.16820133588786165
48,21,HC-Ward,0.11714487410091277
48,21,CLARA,0.12843609076269583
6,22,K-Means,0.19645623011539617
6,22,HC-Ward,0.1113480451748898
6,22,CLARA,0.17197080945384885
8,22,K-Means,0.18521386667594758
8,22,HC-Ward,0.13816030066095955
8,22,CLARA,0.15260650431777215
10,22,K-Means,0.18374304528645008
10,22,HC-Ward,0.12145611373658526
10,22,CLARA,0.16040617018122336
12,22,K-Means,0.17253314090216573
12,22,HC-Ward,0.11488005322314379
12,22,CLARA,0.14293710971289667
15,22,K-Means,0.17388645064520977
15,22,HC-Ward,0.11340690981514409
15,22,CLARA,0.14454656873419697
19,22,K-Means,0.16438722426907662
19,22,HC-Ward,0.11408898737029188
19,22,CLARA,0.13951233085207124
24,22,K-Means,0.17441883623521334
24,22,HC-Ward,0.12139925044407274
24,22,CLARA,0.13630946169652663
30,22,K-Means,0.17016275479801662
30,22,HC-Ward,0.10792906083413371
30,22,CLARA,0.12973673446534295
38,22,K-Means,0.168270424415697
38,22,HC-Ward,0.11126608038243632
38,22,CLARA,0.12547411184235424
48,22,K-Means,0.16820133588786165
48,22,HC-Ward,0.11714487410091277
48,22,CLARA,0.12843609076269583
6,23,K-Means,0.19645623011539617
6,23,HC-Ward,0.1113480451748898
6,23,CLARA,0.17197080945384885
8,23,K-Means,0.18497018369015128
8,23,HC-Ward,0.1340731298923667
8,23,CLARA,0.1544132427595582
10,23,K-Means,0.1849359738423722
10,23,HC-Ward,0.10571595669909174
10,23,CLARA,0.16194631972264997
12,23,K-Means,0.17253314090216573
12,23,HC-Ward,0.11488005322314379
12,23,CLARA,0.14293710971289667
15,23,K-Means,0.1732530423356691
15,23,HC-Ward,0.1087898731293607
15,23,CLARA,0.14286193091578606
19,23,K-Means,0.16905648293713546
19,23,HC-Ward,0.11451720722787365
19,23,CLARA,0.14518862228662327
24,23,K-Means,0.17147393946881048
24,23,HC-Ward,0.11381427826877297
24,23,CLARA,0.13570138180335412
30,23,K-Means,0.16850012684253726
30,23,HC-Ward,0.12044035305088303
30,23,CLARA,0.12928112361285563
38,23,K-Means,0.1669248831364587
38,23,HC-Ward,0.11277515497615555
38,23,CLARA,0.12951647857996543
48,23,K-Means,0.1663768154153559
48,23,HC-Ward,0.11366409135893256
48,23,CLARA,0.13144768874953242
6,24,K-Means,0.19801115576545625
6,24,HC-Ward,0.13941439175317402
6,24,CLARA,0.17543412204814368
8,24,K-Means,0.18521386667594758
8,24,HC-Ward,0.13816030066095955
8,24,CLARA,0.15260650431777215
10,24,K-Means,0.18374304528645008
10,24,HC-Ward,0.12145611373658526
10,24,CLARA,0.16040617018122336
12,24,K-Means,0.17253314090216573
12,24,HC-Ward,0.11488005322314379
12,24,CLARA,0.14293710971289667
15,24,K-Means,0.17062427901357233
15,24,HC-Ward,0.11996716737938058
15,24,CLARA,0.14380812314436325
19,24,K-Means,0.16771684556242947
19,24,HC-Ward,0.10951868556329489
19,24,CLARA,0.13933351459734264
24,24,K-Means,0.1729617448107659
24,24,HC-Ward,0.11930902171471752
24,24,CLARA,0.1376552874956542
30,24,K-Means,0.17014309804281563
30,24,HC-Ward,0.10931563831282523
30,24,CLARA,0.1306539222270494
38,24,K-Means,0.16656698174822188
38,24,HC-Ward,0.12429973942618565
38,24,CLARA,0.12711695022097794
48,24,K-Means,0.16764700567213534
48,24,HC-Ward,0.11832867507621948
48,24,CLARA,0.12905664438921574
6,25,K-Means,0.19801115576545625
6,25,HC-Ward,0.13941439175317402
6,25,CLARA,0.17543412204814368
8,25,K-Means,0.18406595195863668
8,25,HC-Ward,0.14173522003471603
8,25,CLARA,0.15172313702740334
10,25,K-Means,0.18559730434523058
10,25,HC-Ward,0.1206167198231502
10,25,CLARA,0.15989877402435093
12,25,K-Means,0.170063147590553
12,25,HC-Ward,0.10054305656094965
12,25,CLARA,0.14217375133801874
15,25,K-Means,0.16880375540751746
15,25,HC-Ward,0.12176716339312203
15,25,CLARA,0.14708985379614514
19,25,K-Means,0.16557747165805528
19,25,HC-Ward,0.11718898918705759
19,25,CLARA,0.13986451093674498
24,25,K-Means,0.17147393946881048
24,25,HC-Ward,0.11381427826877297
24,25,CLARA,0.13570138180335412
30,25,K-Means,0.1684994993680787
30,25,HC-Ward,0.11878014611928167
30,25,CLARA,0.12707430066189973
38,25,K-Means,0.16656698174822188
38,25,HC-Ward,0.12429973942618565
38,25,CLARA,0.12711695022097794
48,25,K-Means,0.16967376526654673
