k,boot,Method,Silhouette
8,8,K-Means,0.25339077546744954
8,8,HC-Ward,0.18263354679665822
8,8,CLARA,0.20111574685677142
10,8,K-Means,0.22514239616523876
10,8,HC-Ward,0.2056171154871304
10,8,CLARA,0.1896350237157097
12,8,K-Means,0.22372089377857343
12,8,HC-Ward,0.17087740305560992
12,8,CLARA,0.18933058316801687
15,8,K-Means,0.2248094496937219
15,8,HC-Ward,0.16300173345689434
15,8,CLARA,0.1636471916363743
19,8,K-Means,0.22132641114160814
19,8,HC-Ward,0.1562420652966686
19,8,CLARA,0.17134266825994404
24,8,K-Means,0.21970320915180158
24,8,HC-Ward,0.15952691310691136
24,8,CLARA,0.16951632101685069
30,8,K-Means,0.2136302366483609
30,8,HC-Ward,0.15895332549035215
30,8,CLARA,0.1953288303259576
38,8,K-Means,0.21418911761509868
38,8,HC-Ward,0.17393535787551315
38,8,CLARA,0.17257739888437684
48,8,K-Means,0.2133145169863909
48,8,HC-Ward,0.1676274031122269
48,8,CLARA,0.17740690298163603
3,9,K-Means,0.27400625616530544
3,9,HC-Ward,0.26513271362052476
3,9,CLARA,0.2693527640061377
4,9,K-Means,0.2700114570965726
4,9,HC-Ward,0.2277098445666234
4,9,CLARA,0.21629432574315968
5,9,K-Means,0.24180386987275257
5,9,HC-Ward,0.21731716811197804
5,9,CLARA,0.22448755827202166
6,9,K-Means,0.24532435810274386
6,9,HC-Ward,0.1787017029078038
6,9,CLARA,0.20921217905646414
8,9,K-Means,0.2579773965690633
8,9,HC-Ward,0.1630594650190623
8,9,CLARA,0.20341579318544242
10,9,K-Means,0.22660767090577605
10,9,HC-Ward,0.16807669955181426
10,9,CLARA,0.18847220130829562
12,9,K-Means,0.22645110052533798
12,9,HC-Ward,0.14868962907933383
12,9,CLARA,0.19133674103244966
15,9,K-Means,0.2248279075977534
15,9,HC-Ward,0.18091003849956072
15,9,CLARA,0.1673177924554696
19,9,K-Means,0.2230723526489782
19,9,HC-Ward,0.16255215535330098
19,9,CLARA,0.17118716090699532
24,9,K-Means,0.21861202444913877
24,9,HC-Ward,0.14618764482949997
24,9,CLARA,0.16383709852045655
30,9,K-Means,0.212418963406208
30,9,HC-Ward,0.15754463535829627
30,9,CLARA,0.19200433391987376
38,9,K-Means,0.2106360725808981
38,9,HC-Ward,0.164293838262495
38,9,CLARA,0.17074798471144098
48,9,K-Means,0.21495786402654307
48,9,HC-Ward,0.16864741265352512
48,9,CLARA,0.17626961433688354
3,10,K-Means,0.27513884445749576
3,10,HC-Ward,0.2574023373571611
3,10,CLARA,0.27020198962776737
4,10,K-Means,0.2700114570965726
4,10,HC-Ward,0.2277098445666234
4,10,CLARA,0.21629432574315968
5,10,K-Means,0.23698584539016823
5,10,HC-Ward,0.15863448479681766
5,10,CLARA,0.22172640899871812
6,10,K-Means,0.24532435810274386
6,10,HC-Ward,0.1787017029078038
6,10,CLARA,0.20921217905646414
8,10,K-Means,0.2578903171192158
8,10,HC-Ward,0.18479468160533322
8,10,CLARA,0.2005702874570085
10,10,K-Means,0.22353214750413547
10,10,HC-Ward,0.1696128828988608
10,10,CLARA,0.18884874006374247
12,10,K-Means,0.22645110052533798
12,10,HC-Ward,0.14868962907933383
12,10,CLARA,0.19133674103244966
15,10,K-Means,0.22132508902866496
15,10,HC-Ward,0.18307622478765026
15,10,CLARA,0.16258893605472013
19,10,K-Means,0.22116153902316815
19,10,HC-Ward,0.15531108265130592
19,10,CLARA,0.17097295318226086
24,10,K-Means,0.21814586897093355
24,10,HC-Ward,0.16100079398500058
24,10,CLARA,0.16843964816908585
30,10,K-Means,0.213258642660649
30,10,HC-Ward,0.14885739496335681
30,10,CLARA,0.1924947592761582
38,10,K-Means,0.21362966265326588
38,10,HC-Ward,0.16366064727546464
38,10,CLARA,0.1753556761622142
48,10,K-Means,0.21261560735308208
48,10,HC-Ward,0.16885644555409718
48,10,CLARA,0.17613643570687407
3,11,K-Means,0.2756081680437535
3,11,HC-Ward,0.27030100958211045
3,11,CLARA,0.2707700464474003
4,11,K-Means,0.2729160066548368
4,11,HC-Ward,0.21336091718004882
4,11,CLARA,0.21745567415748687
5,11,K-Means,0.24062619041917943
5,11,HC-Ward,0.20983415382618087
5,11,CLARA,0.22412188171675837
6,11,K-Means,0.2516255256784367
6,11,HC-Ward,0.1900866691603949
6,11,CLARA,0.21705352657235083
8,11,K-Means,0.25339077546744954
8,11,HC-Ward,0.18263354679665822
8,11,CLARA,0.20111574685677142
10,11,K-Means,0.22473451560276014
10,11,HC-Ward,0.16194139901576482
10,11,CLARA,0.18555137701266075
12,11,K-Means,0.2263216846052629
12,11,HC-Ward,0.1730645451379432
12,11,CLARA,0.18915471137122652
15,11,K-Means,0.2248279075977534
15,11,HC-Ward,0.18091003849956072
15,11,CLARA,0.1673177924554696
19,11,K-Means,0.2198635689611604
19,11,HC-Ward,0.16239439242017645
19,11,CLARA,0.17304697251756346
24,11,K-Means,0.21861202444913877
24,11,HC-Ward,0.14618764482949997
24,11,CLARA,0.16383709852045655
30,11,K-Means,0.215957357274765
30,11,HC-Ward,0.17878795592572216
30,11,CLARA,0.19514146494074008
38,11,K-Means,0.21184082107074495
38,11,HC-Ward,0.16512528416904598
38,11,CLARA,0.17103123998969869
48,11,K-Means,0.21430144474296065
48,11,HC-Ward,0.15672381785111839
48,11,CLARA,0.17430529570537254
3,12,K-Means,0.27400625616530544
3,12,HC-Ward,0.26513271362052476
3,12,CLARA,0.2693527640061377
4,12,K-Means,0.2729130590389954
4,12,HC-Ward,0.24522965562523066
4,12,CLARA,0.21534586205323752
5,12,K-Means,0.23698584539016823
5,12,HC-Ward,0.15863448479681766
5,12,CLARA,0.22172640899871812
6,12,K-Means,0.25172850569304744
6,12,HC-Ward,0.2107581569059726
6,12,CLARA,0.2203822345578288
8,12,K-Means,0.2579773965690633
8,12,HC-Ward,0.1630594650190623
8,12,CLARA,0.20341579318544242
10,12,K-Means,0.225831653954721
10,12,HC-Ward,0.15581496773731654
10,12,CLARA,0.18688420038702763
12,12,K-Means,0.22630764027808312
12,12,HC-Ward,0.16226497751876845
12,12,CLARA,0.1905062149827941
15,12,K-Means,0.2248094496937219
15,12,HC-Ward,0.16300173345689434
15,12,CLARA,0.1636471916363743
19,12,K-Means,0.21846289648112585
19,12,HC-Ward,0.16392907870031873
19,12,CLARA,0.16995914569726522
24,12,K-Means,0.2170452710581692
24,12,HC-Ward,0.15808029311045918
24,12,CLARA,0.16549845053644183
30,12,K-Means,0.21125151091458236
30,12,HC-Ward,0.168046326363398
30,12,CLARA,0.19580446363673287
38,12,K-Means,0.21147632128837746
38,12,HC-Ward,0.16285731924891855
38,12,CLARA,0.1694594318760522
48,12,K-Means,0.21179837466518273
48,12,HC-Ward,0.16172952229036358
48,12,CLARA,0.17911863955500149
3,13,K-Means,0.27511465692728965
3,13,HC-Ward,0.28231573154664324
3,13,CLARA,0.26910868789918363
4,13,K-Means,0.2700114570965726
4,13,HC-Ward,0.2277098445666234
4,13,CLARA,0.21629432574315968
5,13,K-Means,0.24105317492447775
5,13,HC-Ward,0.1776116528276184
5,13,CLARA,0.22362136285527537
6,13,K-Means,0.2456578633506702
6,13,HC-Ward,0.1466382577982542
6,13,CLARA,0.2167165046349069
8,13,K-Means,0.25339077546744954
8,13,HC-Ward,0.18263354679665822
8,13,CLARA,0.20111574685677142
10,13,K-Means,0.22473451560276014
10,13,HC-Ward,0.16194139901576482
10,13,CLARA,0.18555137701266075
12,13,K-Means,0.22630764027808312
12,13,HC-Ward,0.16226497751876845
12,13,CLARA,0.1905062149827941
15,13,K-Means,0.2246993639152887
15,13,HC-Ward,0.1616474093178839
15,13,CLARA,0.16470541340934441
19,13,K-Means,0.22048759668222215
19,13,HC-Ward,0.1505847931242461
19,13,CLARA,0.16821441371235957
24,13,K-Means,0.21861202444913877
24,13,HC-Ward,0.14618764482949997
24,13,CLARA,0.16383709852045655
30,13,K-Means,0.215957357274765
30,13,HC-Ward,0.17878795592572216
30,13,CLARA,0.19514146494074008
38,13,K-Means,0.21184082107074495
38,13,HC-Ward,0.16512528416904598
38,13,CLARA,0.17103123998969869
48,13,K-Means,0.21162963224573353
48,13,HC-Ward,0.16748435016474356
48,13,CLARA,0.17761746798995345
3,14,K-Means,0.2767831702729751
3,14,HC-Ward,0.2498042434172878
3,14,CLARA,0.2707975850795931
4,14,K-Means,0.2674204320567408
4,14,HC-Ward,0.2042209934975603
4,14,CLARA,0.21376294229560497
5,14,K-Means,0.24180386987275257
5,14,HC-Ward,0.21731716811197804
5,14,CLARA,0.22448755827202166
6,14,K-Means,0.2456578633506702
6,14,HC-Ward,0.1466382577982542
6,14,CLARA,0.2167165046349069
8,14,K-Means,0.2578903171192158
8,14,HC-Ward,0.18479468160533322
8,14,CLARA,0.2005702874570085
10,14,K-Means,0.22514239616523876
10,14,HC-Ward,0.2056171154871304
10,14,CLARA,0.1896350237157097
12,14,K-Means,0.22630764027808312
12,14,HC-Ward,0.16226497751876845
12,14,CLARA,0.1905062149827941
15,14,K-Means,0.2215475990278865
15,14,HC-Ward,0.16263892751386475
15,14,CLARA,0.163998673579038
19,14,K-Means,0.2208416387099627
19,14,HC-Ward,0.16889388558275814
19,14,CLARA,0.16808171814440112
24,14,K-Means,0.21861202444913877
24,14,HC-Ward,0.14618764482949997
24,14,CLARA,0.16383709852045655
30,14,K-Means,0.2136302366483609
30,14,HC-Ward,0.15895332549035215
30,14,CLARA,0.1953288303259576
38,14,K-Means,0.21346735110146778
38,14,HC-Ward,0.16454701820979264
38,14,CLARA,0.17177873097045349
48,14,K-Means,0.21244065478022953
48,14,HC-Ward,0.15692350695583346
48,14,CLARA,0.17628345565280767
3,15,K-Means,0.2756081680437535
3,15,HC-Ward,0.27030100958211045
3,15,CLARA,0.2707700464474003
4,15,K-Means,0.27313603026301303
4,15,HC-Ward,0.2607808957784253
4,15,CLARA,0.21625876128782148
5,15,K-Means,0.24062619041917943
5,15,HC-Ward,0.20983415382618087
5,15,CLARA,0.22412188171675837
6,15,K-Means,0.2456578633506702
6,15,HC-Ward,0.1466382577982542
6,15,CLARA,0.2167165046349069
8,15,K-Means,0.2578903171192158
8,15,HC-Ward,0.18479468160533322
8,15,CLARA,0.2005702874570085
10,15,K-Means,0.225569936248608
10,15,HC-Ward,0.1678450969513144
10,15,CLARA,0.1902181175178121
12,15,K-Means,0.2263216846052629
12,15,HC-Ward,0.1730645451379432
12,15,CLARA,0.18915471137122652
15,15,K-Means,0.223946577133495
15,15,HC-Ward,0.16495142739755075
15,15,CLARA,0.16525724840110442
19,15,K-Means,0.2222819761847359
19,15,HC-Ward,0.15657356457563543
19,15,CLARA,0.17032815117800895
24,15,K-Means,0.21956330908275845
24,15,HC-Ward,0.17209371221169756
24,15,CLARA,0.16610834736371466
30,15,K-Means,0.2136302366483609
30,15,HC-Ward,0.15895332549035215
30,15,CLARA,0.1953288303259576
38,15,K-Means,0.21255389416223214
38,15,HC-Ward,0.14857989516531134
38,15,CLARA,0.16994350513460257
48,15,K-Means,0.21615866272316647
48,15,HC-Ward,0.17465744382886536
48,15,CLARA,0.1778336026456247
3,16,K-Means,0.2767831702729751
3,16,HC-Ward,0.2498042434172878
3,16,CLARA,0.2707975850795931
4,16,K-Means,0.26704953280272825
4,16,HC-Ward,0.25271194375707995
4,16,CLARA,0.21564399395595388
5,16,K-Means,0.24180386987275257
5,16,HC-Ward,0.21731716811197804
5,16,CLARA,0.22448755827202166
6,16,K-Means,0.25172850569304744
6,16,HC-Ward,0.2107581569059726
6,16,CLARA,0.2203822345578288
8,16,K-Means,0.2573382671337885
8,16,HC-Ward,0.18078049110566743
8,16,CLARA,0.19977440303476604
10,16,K-Means,0.22468317496918255
10,16,HC-Ward,0.16987729075883434
10,16,CLARA,0.18615862469700584
12,16,K-Means,0.2267595806020854
12,16,HC-Ward,0.152926378242592
12,16,CLARA,0.18976842740434238
15,16,K-Means,0.2248279075977534
15,16,HC-Ward,0.18091003849956072
15,16,CLARA,0.1673177924554696
19,16,K-Means,0.22132641114160814
19,16,HC-Ward,0.1562420652966686
19,16,CLARA,0.17134266825994404
24,16,K-Means,0.21861202444913877
24,16,HC-Ward,0.14618764482949997
24,16,CLARA,0.16383709852045655
30,16,K-Means,0.212418963406208
30,16,HC-Ward,0.15754463535829627
30,16,CLARA,0.19200433391987376
38,16,K-Means,0.21418911761509868
38,16,HC-Ward,0.17393535787551315
38,16,CLARA,0.17257739888437684
48,16,K-Means,0.21179837466518273
48,16,HC-Ward,0.16172952229036358
48,16,CLARA,0.17911863955500149
3,17,K-Means,0.27400625616530544
3,17,HC-Ward,0.26513271362052476
3,17,CLARA,0.2693527640061377
4,17,K-Means,0.27048376629103327
4,17,HC-Ward,0.21302705815512005
4,17,CLARA,0.2140549174821062
5,17,K-Means,0.24392042515946125
5,17,HC-Ward,0.22085306696135332
5,17,CLARA,0.2301971677206466
6,17,K-Means,0.24532435810274386
6,17,HC-Ward,0.1787017029078038
6,17,CLARA,0.20921217905646414
8,17,K-Means,0.25816450344320724
8,17,HC-Ward,0.15879075145900123
8,17,CLARA,0.20253467500265623
10,17,K-Means,0.22514239616523876
10,17,HC-Ward,0.2056171154871304
10,17,CLARA,0.1896350237157097
12,17,K-Means,0.22645110052533798
12,17,HC-Ward,0.14868962907933383
12,17,CLARA,0.19133674103244966
15,17,K-Means,0.2248094496937219
15,17,HC-Ward,0.16300173345689434
15,17,CLARA,0.1636471916363743
19,17,K-Means,0.22048759668222215
19,17,HC-Ward,0.1505847931242461
19,17,CLARA,0.16821441371235957
24,17,K-Means,0.21861202444913877
24,17,HC-Ward,0.14618764482949997
24,17,CLARA,0.16383709852045655
30,17,K-Means,0.215957357274765
30,17,HC-Ward,0.17878795592572216
30,17,CLARA,0.19514146494074008
38,17,K-Means,0.2106360725808981
38,17,HC-Ward,0.164293838262495
38,17,CLARA,0.17074798471144098
48,17,K-Means,0.21244065478022953
48,17,HC-Ward,0.15692350695583346
48,17,CLARA,0.17628345565280767
3,18,K-Means,0.2767831702729751
3,18,HC-Ward,0.2498042434172878
3,18,CLARA,0.2707975850795931
4,18,K-Means,0.27415696069148054
4,18,HC-Ward,0.1572105015090537
4,18,CLARA,0.21342723534279892
5,18,K-Means,0.23648155907385457
5,18,HC-Ward,0.17488943251323164
5,18,CLARA,0.22379990112699444
6,18,K-Means,0.2471598894724898
6,18,HC-Ward,0.18417159728675686
6,18,CLARA,0.21470510632548703
8,18,K-Means,0.26003704142834816
8,18,HC-Ward,0.21811349625006682
8,18,CLARA,0.19963648642870435
10,18,K-Means,0.22514239616523876
10,18,HC-Ward,0.2056171154871304
10,18,CLARA,0.1896350237157097
12,18,K-Means,0.22374003003699014
12,18,HC-Ward,0.18501596907114112
12,18,CLARA,0.1913178009176601
15,18,K-Means,0.2215475990278865
15,18,HC-Ward,0.16263892751386475
15,18,CLARA,0.163998673579038
19,18,K-Means,0.2230723526489782
19,18,HC-Ward,0.16255215535330098
19,18,CLARA,0.17118716090699532
24,18,K-Means,0.21861202444913877
24,18,HC-Ward,0.14618764482949997
24,18,CLARA,0.16383709852045655
30,18,K-Means,0.21125151091458236
30,18,HC-Ward,0.168046326363398
30,18,CLARA,0.19580446363673287
38,18,K-Means,0.21418911761509868
38,18,HC-Ward,0.17393535787551315
38,18,CLARA,0.17257739888437684
48,18,K-Means,0.21430144474296065
48,18,HC-Ward,0.15672381785111839
48,18,CLARA,0.17430529570537254
3,19,K-Means,0.27513884445749576
3,19,HC-Ward,0.2574023373571611
3,19,CLARA,0.27020198962776737
4,19,K-Means,0.27048376629103327
4,19,HC-Ward,0.21302705815512005
4,19,CLARA,0.2140549174821062
5,19,K-Means,0.2359130877850098
5,19,HC-Ward,0.1797326650753347
5,19,CLARA,0.2206352921451932
6,19,K-Means,0.2520923141045123
6,19,HC-Ward,0.23169047909496904
6,19,CLARA,0.21757512663179615
8,19,K-Means,0.26038770519049975
8,19,HC-Ward,0.20497619672697523
8,19,CLARA,0.20639778695182692
10,19,K-Means,0.22660767090577605
10,19,HC-Ward,0.16807669955181426
10,19,CLARA,0.18847220130829562
12,19,K-Means,0.22645110052533798
12,19,HC-Ward,0.14868962907933383
12,19,CLARA,0.19133674103244966
15,19,K-Means,0.2248094496937219
15,19,HC-Ward,0.16300173345689434
15,19,CLARA,0.1636471916363743
19,19,K-Means,0.21846289648112585
19,19,HC-Ward,0.16392907870031873
19,19,CLARA,0.16995914569726522
24,19,K-Means,0.21956330908275845
24,19,HC-Ward,0.17209371221169756
24,19,CLARA,0.16610834736371466
30,19,K-Means,0.2136302366483609
30,19,HC-Ward,0.15895332549035215
30,19,CLARA,0.1953288303259576
38,19,K-Means,0.21184082107074495
38,19,HC-Ward,0.16512528416904598
38,19,CLARA,0.17103123998969869
48,19,K-Means,0.21162963224573353
48,19,HC-Ward,0.16748435016474356
48,19,CLARA,0.17761746798995345
3,20,K-Means,0.2767831702729751
3,20,HC-Ward,0.2498042434172878
3,20,CLARA,0.2707975850795931
4,20,K-Means,0.2729130590389954
4,20,HC-Ward,0.24522965562523066
4,20,CLARA,0.21534586205323752
5,20,K-Means,0.23755952833796753
