molecule_id,aop_oh_rate_constant,aop_oh_half_life_hours,aop_ozone_rate_constant,aop_ozone_half_life_hours
546296,1.831702e-10,0.6960000000000001,1.1375e-17,24.168
546297,9.49664e-11,1.356,1.1375e-17,24.168
546298,1.90541e-10,0.672,4.3181999e-16,0.648
546299,3.087697e-10,0.42000000000000004,8.6e-16,0.312
546302,1.984911e-10,0.648,4.4200001e-16,0.624
546305,1.884018e-10,0.684,4.9196873e-16,0.552
546312,3.095117e-10,0.41468333333333335,1.356875e-16,2.027
546313,4.24269e-11,3.024,0,NA
546314,3.431368e-10,0.372,8.4616257e-16,0.336
546315,3.24862e-10,0.3951,5.6e-16,0.49115000000000003
546317,1.000811e-10,1.284,0,NA
542309,1.84499e-10,0.6960000000000001,8.6e-16,0.312
546320,1.855331e-10,0.6960000000000001,4.9259373e-16,0.552
546321,1.902619e-10,0.672,1.2e-17,22.919999999999998
546326,2.484737e-10,0.516,8.7199997e-16,0.312
546328,1.873591e-10,0.684,4.9196873e-16,0.552
546329,2.180166e-10,0.589,1.3e-16,2.116
546332,3.5168e-10,0.36,8.59375e-17,3.192
546336,3.010595e-10,0.43199999999999994,8.59375e-17,3.192
546337,2.271211e-10,0.5640000000000001,7.8422501e-16,0.36
546338,1.725925e-10,0.744,7.39375e-17,3.7199999999999998
546339,3.629582e-10,0.34800000000000003,8.59375e-17,3.192
546342,3.95548e-11,3.24,0,NA
546375,1.743439e-10,0.736,8.75e-19,314.328
546344,2.05792e-10,0.624,0,NA
546345,7.90574e-11,1.62,1.1375e-17,24.168
546347,1.884852e-10,0.684,8.6e-16,0.312
546351,8.20778e-11,1.56,1.2e-17,22.919999999999998
546354,1.727325e-10,0.744,7.39375e-17,3.7199999999999998
546355,2.055962e-10,0.624,0,NA
546358,2.105933e-10,0.612,1.8e-16,1.536
546359,1.840339e-10,0.6960000000000001,4.9196873e-16,0.552
546362,1.429919e-10,0.8999999999999999,0,NA
546366,1.907948e-10,0.673,5.6e-16,0.491
546367,2.030249e-10,0.636,0,NA
546368,6.47296e-11,1.98,1.2e-17,22.919999999999998
546370,8.0656e-11,1.596,0,NA
546374,2.71227e-10,0.4732333333333333,1.20087502e-15,0.22903333333333334
546376,1.563093e-10,0.8160000000000001,0,NA
546378,8.17238e-11,1.572,0,NA
546380,7.71983e-11,1.6680000000000001,0,NA
546381,2.34498e-11,5.472,0,NA
546383,1.377414e-10,0.9359999999999999,4.3174999e-16,0.648
546384,2.055962e-10,0.624,0,NA
546387,1.281132e-10,0.996,0,NA
546390,5.51556e-11,2.3280000000000003,7.39375e-17,3.7199999999999998
546395,7.43157e-11,1.7279999999999998,4.925e-17,5.5920000000000005
546396,1.073682e-10,1.2000000000000002,4.3e-16,0.648
546397,3.444329e-10,0.372,0,NA
546398,1.310341e-10,0.984,4.8059372e-16,0.5760000000000001
546402,6.34516e-11,2.028,6.14e-17,4.4879999999999995
546405,2.381651e-10,0.54,8.8099998e-16,0.312
546407,1.545942e-10,0.8280000000000001,5.0393749e-16,0.552
546409,3.574489e-10,0.36,1.3825e-16,1.992
546410,5.39742e-11,2.3760000000000003,6.5625e-17,4.199999999999999
546411,1.006799e-10,1.272,1.183e-17,23.256
546412,1.743439e-10,0.736,8.75e-19,314.328
546413,4.42013e-11,2.904,0,NA
546415,7.25758e-11,1.7639999999999998,7.39375e-17,3.7199999999999998
546418,4.114958e-10,0.3119166666666667,2.159375e-16,1.2737
546419,2.14447e-10,0.6000000000000001,2.5199999e-16,1.08
546420,1.006799e-10,1.272,1.183e-17,23.256
546425,3.955297e-10,0.32449999999999996,2.159375e-16,1.2737
546426,3.54821e-11,3.612,0,NA
546428,4.899879e-10,0.264,8.6175003e-16,0.312
546430,2.736193e-10,0.46799999999999997,2.74625e-16,1.008
546431,2.0042e-10,0.636,0,NA
546432,3.13085e-11,4.104,0,NA
546433,3.402414e-10,0.372,0,NA
546439,6.16546e-11,2.0759999999999996,0,NA
546441,2.629786e-10,0.48806666666666665,4.996875e-16,0.5504166666666667
546442,1.240603e-10,1.032,4.8059372e-16,0.5760000000000001
546446,1.269346e-10,1.011,1.3e-16,2.116
