molecule_id,bp_est,mp_est,vp_est
524396,826.28,349.84,1.21e-20
524400,454.25,191.23,1.09e-11
524401,1231.74,349.84,2.09e-41
524403,770.24,338.83,1.31e-22
524404,531.38,227.25,1.19e-14
524408,1221.19,349.84,5.25e-41
524409,624.37,270.69,4.95e-17
524410,735.34,322.53,2.94e-21
524411,899.87,349.84,4.65e-29
524417,704.74,308.24,8.35e-17
524418,294.91,74.63,8.66e-4
524419,991,349.84,2.16e-32
524420,887.29,349.84,1.21e-26
524421,462.33,195,3.96e-9
524422,1059.03,349.84,1.06e-33
524423,581.96,250.88,4.84e-16
524425,573.17,246.78,2.76e-16
524428,433.5,164.27,6.99e-10
524430,492.53,189.82,7.95e-10
524431,393.33,145.5,7.47e-9
524433,257.61,16.64,0.0299
524434,583.89,251.79,1.6e-15
524435,273.23,4.74,0.00773
524437,1525.72,349.84,0
524438,1537.32,349.84,0
524439,1614.16,349.84,0
524440,626.64,271.75,2.07e-18
524444,627.91,272.35,1.84e-18
524445,480,90.27,2.06e-11
524447,760.06,334.08,1.25e-18
524448,1131.79,349.84,1.25e-37
524449,565.29,243.1,2.1e-15
524450,1942.48,349.84,0
524453,1693.32,349.84,0
524458,281.18,27.82,0.00497
524459,1330.09,349.84,4.2e-45
524461,1027.76,349.84,9.49e-34
524462,824.1,349.84,2.51e-26
524463,1027.76,349.84,9.49e-34
524464,1343.85,349.84,1.7e-42
524465,1400.46,349.84,3.88e-37
524467,1264.08,349.84,3.77e-41
524470,505.54,197.08,1.95e-12
524472,530.3,226.75,1.5e-13
524474,379.11,132.01,6.38e-8
524477,527.84,225.6,1.85e-13
524479,1049.13,349.84,6.81e-27
524481,511.05,217.76,7.53e-13
524482,662.43,288.47,3.69e-19
524483,696.44,304.36,3.12e-21
524487,517.19,220.63,1.38e-13
524488,1203.93,349.84,2.37e-40
524490,501.83,213.46,1.66e-13
524491,706.56,309.09,3.76e-20
524492,1250.35,349.84,4.08e-42
524493,1250.35,349.84,4.08e-42
524496,528.04,225.69,1.82e-13
524497,883.72,349.84,1.6e-26
524498,867.65,349.84,6.82e-28
524499,1053.57,349.84,1.05e-34
524500,514.96,219.59,9.57e-11
524501,1029.89,349.84,7.91e-34
524502,661.53,278,1.09e-19
524503,867.65,349.84,6.82e-28
524505,673.14,285.68,3.47e-20
524509,707.55,309.55,3.45e-20
524510,439.87,178.65,2.21e-8
524511,759.44,333.79,5.27e-23
524512,439.87,178.65,2.21e-8
524513,435.84,143.07,7.03e-8
524515,513.73,200.91,9.87e-13
524516,NA,NA,NA
524519,460.33,194.07,4.55e-9
524520,527.67,225.52,1.66e-14
524521,588.59,253.98,2.7e-16
524524,NA,NA,NA
524528,397.16,139.54,6.81e-7
524530,418.19,159.46,2.26e-9
524531,521,222.41,3.28e-13
524533,504.01,195.38,3.51e-10
524534,545.38,225.22,1.37e-11
524535,451.12,189.76,3.89e-11
524536,554.01,237.83,1.56e-15
524537,529.71,226.48,1.39e-14
524538,536.93,216.25,1.25e-13
524541,542.76,232.57,4.3e-15
524542,541.17,231.83,4.96e-15
524543,1050.36,349.84,2.16e-33
524544,529.26,226.27,1.64e-13
524545,1003.56,349.84,7.44e-33
524546,1863.44,349.84,0
524547,709.99,310.69,4.93e-21
524548,575.99,248.09,3.15e-15
524550,454.58,179.51,1.1e-10
524551,538.81,230.73,2.12e-14
524553,505,195.32,6.74e-13
524554,341.13,107.43,3.51e-7
524555,400.47,144.89,1.09e-8
524558,737.21,323.4,4.08e-22
524559,306.5,79.95,4.14e-4
524560,961.85,349.84,3.65e-29
524564,573.82,247.08,9.92e-16
524565,1331.35,349.84,2.8e-45
524566,1673.2,349.84,0
524567,1673.2,349.84,0
524568,773.49,340.35,2.11e-24
524573,814.56,349.84,2.54e-20
524574,451.53,168.69,1.8e-10
524577,445.42,161.13,3.35e-10
524578,485.47,182.06,1.19e-11
524579,1708.01,349.84,0
524580,441.66,159.67,4.5e-10
524581,1499.34,349.84,4.33e-40
524582,781.98,344.32,3.18e-22
524588,465.68,196.57,3.22e-11
524589,NA,NA,NA
524591,1255.63,349.84,7.28e-33
524593,NA,NA,NA
524594,804.08,349.84,7.2e-24
524595,919.48,349.84,9.98e-28
524596,930.85,349.84,3.78e-29
524598,368.99,131.05,1.28e-7
524599,858.23,349.84,1.49e-27
524602,925.42,349.84,6.28e-28
524603,575.78,248,3.2e-15
524605,932.99,349.84,2.9e-30
524607,480,90.27,2.06e-11
524609,1812.99,349.84,0
524610,1397.35,349.84,2.1e-44
524612,1069.98,349.84,7.17e-33
524615,505.08,214.97,3.93e-13
524616,550.51,236.19,2.14e-15
524618,557.24,239.34,4.25e-15
524619,1621.8,349.84,0
524620,652.18,283.68,4.43e-18
524621,1153.29,349.84,6.93e-30
524622,555.44,222.03,8.24e-12
524623,515.86,220.01,5.04e-13
524625,662.92,288.7,7.18e-20
524627,863.81,349.84,9.37e-28
524628,763.45,335.66,3.64e-23
524629,607.26,262.7,1.23e-17
524630,749.8,329.29,1.28e-22
524631,659.17,286.95,1.02e-19
524632,817.32,349.84,4.38e-26
524633,902.85,349.84,3.62e-29
524634,487.96,206.98,6.52e-10
524637,590.08,254.68,2.36e-16
524639,524.97,224.26,2.12e-14
524640,580.2,250.06,2.2e-15
524641,578.18,249.12,1.75e-16
524645,713.76,312.45,1.14e-19
524648,1030.66,349.84,1.62e-31
524649,806.43,349.84,8.04e-25
524650,617.32,267.4,9.09e-17
524653,641.4,278.65,2.45e-18
524656,562.09,241.6,7.53e-16
524657,551.57,236.69,1.95e-15
524659,NA,NA,NA
524663,293.23,71.67,7.55e-5
524665,626.18,271.54,2.95e-14
524666,865.29,349.84,7.41e-27
524668,659.41,287.06,2.36e-18
524669,532.83,227.93,1.22e-13
524670,532.95,227.99,3.53e-14
524671,342.55,94.02,4.26e-5
524673,1068.54,349.84,8.03e-33
524674,779.05,342.95,1.24e-24
524675,637.71,276.92,1.56e-17
524677,597.09,257.95,1.27e-16
524679,559.59,240.44,3.72e-13
524680,599.54,259.1,1.02e-16
524682,898.6,349.84,5.11e-28
524683,609.22,263.62,1.83e-16
524684,597.09,257.95,1.27e-16
524686,390.77,136.99,1.04e-6
524687,496.45,200.31,3.39e-12
524688,848.89,349.84,1.99e-24
524693,1463.76,349.84,5.61e-45
524695,319.34,80.63,1.14e-5
524697,708.74,310.1,9.84e-22
524698,631,273.79,6.21e-18
524701,NA,NA,NA
524702,1720.84,349.84,0
524704,845.78,349.84,7.58e-23
524705,409.21,163.16,1.89e-7
524706,837.53,349.84,1.34e-22
524707,1312.57,349.84,2.45e-37
524708,457.15,169.86,1.04e-8
524710,654.29,284.67,1.6e-19
524714,900.98,349.84,4.24e-29
524716,869.21,349.84,5.41e-27
524717,948.92,349.84,7.58e-31
524721,911.37,349.84,5.3e-23
524722,1357.5,349.84,1.26e-44
524723,622.96,270.04,2.9e-18
524726,827.07,349.84,1.96e-26
524727,666.71,290.47,5.04e-20
524728,1031.62,349.84,1.01e-32
524729,1141.03,349.84,1.57e-29
524732,1055.51,349.84,3.05e-29
524736,1172.56,349.84,1.92e-30
524738,1160.96,349.84,4.16e-30
524739,584.86,252.24,3.75e-16
524740,594.45,256.72,6.5e-16
524741,1145.51,349.84,1.16e-29
524744,763.85,335.85,5.31e-24
524745,467.56,197.44,2.76e-11
524746,539.68,226.86,1.83e-11
524747,617.57,267.52,4.77e-18
524748,1274.97,349.84,4.69e-43
524749,755.34,331.87,1.8e-18
524751,441.97,181.32,1.83e-8
524752,1058.72,349.84,1.09e-33
524753,768.89,338.2,2.2e-23
524756,602.2,260.34,1.95e-17
524757,602.2,260.34,1.95e-17
524759,602.2,260.34,1.95e-17
524760,708.74,310.1,9.84e-22
524762,413.17,160.97,1.6e-7
524763,1325.14,349.84,9.71e-38
524764,758.78,333.48,1.38e-18
524765,1302.04,349.84,5.32e-37
524767,1009.94,349.84,6e-32
524768,650.96,283.12,1.04e-18
524771,449.84,189.17,9.47e-9
524774,439.79,162.61,4.74e-10
524775,533.99,228.48,2.45e-11
524776,466.05,196.74,3.05e-9
524779,807.78,349.84,5.43e-24
524780,522.01,205.18,9.39e-11
524782,477.65,202.16,1.35e-9
524783,483.38,204.84,1.27e-10
524784,556.06,235.81,1.86e-14
524789,550.2,220.95,4.27e-14
524790,502.09,213.58,1.59e-12
524791,490.2,208.02,4.26e-12
524793,536.61,229.7,8.84e-14
524794,536.61,229.7,8.84e-14
524795,710.57,310.96,8.28e-22
524796,596.8,257.82,2.56e-13
524797,524.1,223.86,2.53e-13
524798,502.09,213.58,1.59e-12
524799,515.71,219.94,5.1e-13
524800,848.57,349.84,2.4e-25
524802,476.67,193.01,5.65e-12
524803,578.47,249.25,6.59e-16
524804,466.39,196.9,4.56e-10
524805,1213.34,349.84,1.25e-31
524808,648.7,282.06,5.55e-15
524809,862.82,349.84,7.11e-25
524811,909.37,349.84,2.1e-29
524812,973.31,349.84,9.67e-32
524813,839.11,349.84,4.96e-25
524815,1095.41,349.84,5.22e-35
524816,1126.11,349.84,4.06e-36
524817,828.69,349.84,1.37e-25
524818,984.04,349.84,3.9e-32
524819,772.86,340.06,2.25e-24
524828,508.33,216.49,9.44e-13
524831,658.02,286.41,2.78e-15
524833,992.22,349.84,1.95e-32
524836,772.26,339.78,1.61e-23
524841,721.42,316.03,2.37e-17
524848,1284.05,349.84,2.12e-43
524851,724.44,317.44,7.74e-21
524852,NA,NA,NA
524853,NA,NA,NA
524854,NA,NA,NA
524855,681,297.15,4.98e-16
524856,432.9,173.21,3.8e-8
524858,510.8,217.64,7.69e-13
524859,552.75,237.24,2.26e-14
524860,476.46,201.6,1.47e-9
524861,452.19,190.15,8.06e-9
524862,492.55,200.76,5.91e-10
524863,443.46,171,2.96e-10
524866,369.59,116.99,5.54e-6
524868,805.64,349.84,1.15e-25
524871,664.79,289.58,2.98e-19
524874,622.4,269.77,5.87e-17
524875,580.53,250.22,8.42e-13
524876,699.43,305.76,2.36e-21
524878,348.12,113.79,4.04e-5
524879,601.91,250.5,2.64e-17
524880,711.06,311.19,7.9e-22
524886,736.84,323.23,4.22e-22
524887,304.47,18.25,0.00154
524888,496.8,123.22,3.48e-9
524889,1359.32,349.84,0
524890,1160.72,349.84,1.59e-32
524891,1149.12,349.84,3.68e-32
524897,654.33,284.69,1.6e-19
524898,635.65,275.96,1.46e-14
524899,635.65,275.96,1.46e-14
524901,1241.56,349.84,1.88e-32
524902,1229.96,349.84,4.09e-32
524903,882.51,349.84,3.37e-22
524904,1070.96,349.84,2.36e-35
524906,609.51,263.75,1e-17
524907,1271.65,349.84,6.29e-43
524908,581.35,250.6,1.31e-16
524911,1024.34,349.84,1.27e-33
524912,1723.57,349.84,0
524913,713.85,312.49,6.08e-22
524914,345.18,112.98,2.33e-5
524915,742.01,325.64,4.24e-23
524916,1236.18,349.84,1.41e-41
524921,495.17,193.59,4.44e-12
524922,455.16,173.08,1.25e-10
524924,522.62,196,6.01e-13
524925,570.17,245.38,1.37e-15
524927,465.67,196.56,4.02e-12
524930,483.9,203.87,7.41e-12
524931,477.38,188.64,1.76e-11
524935,596.97,257.89,1.28e-16
524936,586.6,253.05,1.27e-15
524938,575.65,243.87,3.63e-15
524940,601.47,260,1.82e-13
524942,568.74,244.71,1.55e-15
524943,572.55,246.16,1.12e-15
524945,492.06,196.59,6.81e-10
524946,578.65,249.08,1.69e-16
524948,517.91,213.91,1.58e-13
524953,716.47,313.72,1.48e-18
524955,438.79,157.4,5.81e-10
524956,1220.01,349.84,7.99e-32
524957,480,90.27,2.06e-11
524958,480,90.27,2.06e-11
524963,869.65,349.84,5.77e-28
524964,682.19,297.7,1.19e-20
524967,685.76,299.37,8.51e-21
524968,1779.94,349.84,0
524969,686.8,299.85,7.72e-21
524970,1827.06,349.84,0
524971,571.12,245.82,1.67e-12
524973,575.47,247.85,8.58e-16
524974,456.67,152.61,1.92e-10
524975,553.92,229.85,2.56e-14
524977,624.69,270.84,3.29e-14
524978,411.97,143.55,2.68e-7
524979,497.92,211.63,7.26e-13
524980,572.25,246.35,1.14e-15
524982,808.76,349.84,8.86e-26
524988,1193.47,349.84,5.9e-40
524991,1096.8,349.84,2.56e-36
524992,1000.78,349.84,9.42e-33
524993,1047.51,349.84,1.76e-34
524994,751.55,330.1,1.71e-23
524995,727.51,318.88,1.67e-22
524996,1443.94,349.84,0
524997,570.77,245.66,3.43e-16
525004,682.86,298.02,1.12e-20
525005,631.73,274.13,2.62e-17
525006,612.04,264.93,3.37e-17
525007,687.86,300.35,6.99e-21
525009,634.64,275.49,4.48e-18
525010,488.42,207.19,4.93e-12
525011,460.26,194.04,4.57e-9
525012,460.31,184.46,5.89e-9
