molecule_id,bp_est,mp_est,vp_est
84,NA,NA,NA
134,480,90.27,2.06e-11
266,695.66,304,7.53e-20
277,384.41,111.23,2.31e-7
282,583.14,237.47,1.79e-11
333,591.67,255.42,5.33e-17
341,518.53,221.25,4.26e-12
380,617.84,267.65,4.65e-18
425,975.02,349.84,8.37e-32
431,782.44,344.53,2.53e-23
435,591.67,255.42,5.33e-17
444,474.08,193.86,6.66e-12
448,782.44,344.53,2.53e-23
449,546.15,234.15,3.17e-15
466,931.42,349.84,3.3e-30
521,781.66,344.17,9.05e-23
540,NA,NA,NA
567,990.72,349.84,1.0500000000000001e-30
568,542.99,232.68,3.65e-11
592,1228.77,349.84,2.71e-41
605,699.4,305.74,2.37e-21
627,874.85,349.84,2.87e-24
633,895.08,349.84,6.93e-29
665,448.63,188.6,1.66e-10
688,1302.21,349.84,4.2e-44
727,508.23,216.44,3.85e-12
790,1091.77,349.84,3.94e-36
848,510.59,197.75,1.34e-12
855,396.19,149.77,2.38e-6
856,449.66,189.08,4.14e-9
864,395.47,152.43,1.99e-9
869,392.23,157.36,1.38e-8
871,411.21,171.12,1.95e-9
887,885.79,349.84,7.75e-26
898,432.76,162.07,1.79e-7
899,444.39,168.98,2.41e-9
902,432.76,162.07,1.79e-7
903,444.39,168.98,2.41e-9
911,450.64,189.54,9.5e-11
928,897.71,349.84,5.57e-29
942,659.96,287.32,9.45e-20
949,752.16,330.39,8.12e-21
964,489.15,207.53,5.1e-13
976,1552.14,349.84,0
978,1552.14,349.84,0
985,718.53,338.85,1.44e-17
989,513.94,219.11,3.13e-10
1002,792.58,349.27,3.4e-25
1094,NA,NA,NA
1308,380.68,132.79,1.33e-7
1312,380.68,132.79,1.33e-7
1358,1170.74,349.84,4.26e-39
1381,371.74,134.49,2.02e-8
1396,380.68,132.79,1.33e-7
1403,591.67,255.42,5.33e-17
1520,380.68,132.79,1.33e-7
1545,703.81,336.7,3.69e-21
1554,945.01,349.84,1.0500000000000001e-30
1569,657.45,329.94,4.69e-17
1589,744.67,326.89,3.29e-23
1610,622.61,324.85,2.84e-13
1613,537.33,230.04,3.29e-15
1622,391.87,153.08,2.94e-10
1638,2951.08,349.84,0
1657,912.67,349.84,1.59e-29
1673,867.64,349.84,6.32e-27
1678,574.87,247.57,2.36e-16
1680,574.87,247.57,2.36e-16
1705,709.57,337.54,2.3e-21
1714,519.69,221.79,1.11e-13
1718,NA,NA,NA
1728,NA,NA,NA
1784,504.13,214.53,2.07e-10
1809,NA,NA,NA
1838,359.92,129.17,5.38e-8
1848,870.49,349.84,4.89e-27
1859,927.96,349.84,4.78e-29
1875,655.55,285.26,6.86e-19
1877,813.34,349.84,2.77e-23
1887,623.01,270.06,1.27e-17
1889,504.14,214.53,1.21e-13
1894,885.03,349.84,1.6e-28
1898,885.03,349.84,1.6e-28
1937,367.33,150.62,7.12e-8
1944,424.64,155.71,1.79e-10
1946,424.64,155.71,1.79e-10
1955,361.5,133.38,1.99e-7
1961,591.59,255.38,3.53e-16
1965,591.59,255.38,3.53e-16
1969,951.46,349.84,8.24e-29
1974,398.79,165.32,7.22e-9
1981,717.76,314.32,3.12e-17
1983,563.53,242.28,6.6e-16
1987,720.14,315.43,1.95e-21
1989,964.84,349.84,2.39e-30
1992,776.65,341.83,1.07e-23
2044,299.31,53.53,1.66e-5
2055,636.05,326.81,3.24e-15
2066,548.72,235.36,2.31e-13
2131,933.4,349.84,2.8e-30
2400,655.71,329.68,9e-16
2413,775.88,341.47,1.68e-24
2441,736.8,323.21,6.94e-23
2540,848.11,349.84,3.45e-27
2559,1094.52,349.84,3.11e-36
2581,430.85,180.3,7.72e-9
2583,400.31,166.03,6.39e-9
2601,487.4,206.71,4.45e-11
2607,367.19,149.71,1.43e-8
2609,537.33,230.04,3.29e-15
2637,887.38,349.84,2.47e-22
2638,386.41,145.2,1.77e-6
2649,759.26,333.7,8.98e-22
2651,426.98,171.47,3.17e-10
2657,514.19,219.23,5.79e-13
2662,386.13,146.1,1.12e-8
2676,480,90.27,1.43e-12
2681,648.82,282.11,7.58e-14
2690,375.19,138.3,1.98e-7
2713,379.33,132.75,2.18e-6
2781,1315.67,349.84,1.26e-44
2839,874.85,349.84,2.87e-24
2859,1230.29,349.84,2.37e-41
2884,930.73,349.84,3.5e-30
2888,514.92,219.57,8.13e-12
2922,505.67,215.25,6.85e-14
3058,708.74,310.1,9.84e-22
3062,450.64,189.54,9.5e-11
3064,465.22,196.35,3.23e-9
3065,845.24,349.84,4.37e-27
3087,738.98,324.23,9.5e-21
3088,508.92,216.77,5.81e-14
3089,466.63,197.01,2.35e-10
3091,548.72,235.36,2.31e-13
3097,920.03,349.84,5.79e-28
3098,606.28,262.24,1.34e-17
3103,680.44,296.88,1.4e-20
3104,863.75,349.84,1.23e-26
3107,863.75,349.84,1.23e-26
3111,709.77,310.59,2.17e-21
3114,745.32,327.19,2.08e-21
3128,496,210.73,1.16e-11
3129,611.93,264.88,2.53e-16
3132,390.02,144.56,1.71e-8
3139,743.4,326.3,3.71e-23
3172,508.23,216.44,8.69e-13
3197,853.1,349.84,2.12e-25
3211,507.97,216.32,3.92e-11
3212,402.3,166.96,5.45e-9
3223,565.3,243.1,9.01e-11
3225,416.9,173.78,1.88e-10
3234,499.49,212.36,6.12e-12
3242,453.18,190.73,3.31e-11
3249,488.01,207,3.82e-12
3251,500.48,212.82,5.65e-12
3252,511.67,218.05,2.3e-12
3257,840.45,349.84,3.71e-24
3260,840.45,349.84,3.71e-24
3267,591.67,255.42,2.19e-16
3268,634,275.19,1.09e-15
3269,243.83,28.73,0.0018
3270,239.42,42.64,4.51e-5
3272,468.93,198.08,7.03e-11
3273,410.83,169.52,6.99e-9
3274,445.27,187.03,4.56e-10
3276,387.18,149.27,5.49e-8
3277,488.31,207.14,8.75e-11
3278,1044.22,349.84,3.59e-33
3279,499.49,212.36,6.12e-12
3280,728.15,319.17,3.31e-20
3281,1044.22,349.84,3.59e-33
3282,705.37,308.53,2.33e-19
3284,716.97,313.95,8.63e-20
3285,575.43,247.83,2.25e-16
3290,575.43,247.83,2.25e-16
3291,842.99,349.84,5.27e-27
3293,702.99,307.42,1.69e-21
3298,454.45,191.32,6.92e-11
3299,448.98,171.15,3.77e-10
3301,448.98,171.15,3.77e-10
3302,236.92,38.1,0.017
3305,481.4,203.91,1.47e-10
3308,477.82,202.24,1.93e-10
3327,453.18,190.73,2.45e-10
3329,539,230.82,7.23e-14
3331,515.35,219.77,1.05e-13
3332,550.19,236.04,2.79e-15
3336,325.83,74.26,1.67e-4
3340,280.51,66.86,0.00646
3343,846.83,349.84,2.74e-25
3344,354.2,126.07,1.72e-7
3358,360.48,132.26,2.19e-7
3361,444.86,186.84,3.69e-10
3365,498.91,212.09,9.55e-13
3367,748.89,328.86,2.2e-23
3369,499.96,209.27,2.15e-13
3370,498.91,212.09,9.55e-13
3373,748.89,328.86,2.2e-23
3375,705.43,308.56,6.43e-20
3376,748.89,328.86,2.2e-23
3379,483.05,203.86,1.12e-12
3380,522.85,223.27,9.29e-13
3382,379.98,131.46,6.1e-8
3391,500.66,212.91,5.74e-13
3400,680.21,296.78,1.43e-20
3404,680.21,296.78,1.43e-20
3410,461.97,194.84,4.36e-11
3412,425.63,177.86,2.13e-9
3414,429.52,179.68,8.29e-11
3418,450.79,189.61,1.09e-10
3420,414.45,166.26,2.55e-8
3421,414.45,166.26,2.55e-8
3422,450.79,189.61,1.09e-10
3423,504.17,214.55,1.34e-12
3424,469.33,198.27,2.38e-11
3425,414.45,166.26,2.55e-8
3437,382.8,137.99,1.89e-8
3454,346.46,114.37,8.65e-7
3459,319.93,72.46,2.4e-4
3460,345.44,102.92,1.02e-5
3461,441.99,185.5,2.82e-9
3462,256.8,43.42,0.0312
3463,419.36,152.44,1.41e-7
3464,380.21,114.98,6.9e-6
3466,372.53,125.53,2.15e-6
3468,256.8,43.42,0.0312
3469,332.43,99.46,6.13e-7
3470,349.14,123.88,5.73e-7
3472,372.53,125.53,7.54e-7
3473,356.62,116.8,2.94e-6
3474,356.62,116.8,3.04e-7
3479,373.44,153.48,8.02e-9
3480,281.2,96.22,6.74e-6
3482,340.25,130.14,5.2e-8
3483,365.39,144.43,2.94e-8
3484,329.8,112.1,1.21e-6
3485,352.75,122.55,2.22e-7
3488,528.04,225.7,3.49e-14
3491,446.95,187.82,3.9e-9
3496,446.95,187.82,3.9e-9
3499,490.4,208.12,4.19e-12
3502,498.91,212.09,9.55e-13
3509,429.18,179.52,1.61e-9
3557,376,137.16,5.54e-7
3558,398.36,165.12,1.76e-8
3559,398.36,165.12,1.76e-8
3560,429.18,179.52,1.61e-9
3561,464.36,195.95,1.43e-12
3565,702.99,307.42,1.69e-21
3567,277.07,67.32,1.37e-4
3568,439.35,166.22,5.53e-9
3569,444.84,169.45,1.04e-9
3572,444.84,169.45,1.04e-9
3585,345.64,107.18,7.13e-6
3587,440.34,184.73,3.19e-9
3588,479.69,203.11,6.69e-12
3589,431.27,180.49,5.6e-10
3590,252.18,51.47,8.55e-4
3599,452.73,190.52,9.28e-11
3601,373.08,137.8,3.73e-8
3609,485.37,196.6,8.14e-12
3610,485.37,196.6,8.14e-12
3612,459.28,162.67,1.11e-8
3616,440.48,171.87,1.34e-10
3626,475.84,201.31,4.06e-11
3628,492.99,209.32,3.38e-12
3631,434.49,182,1.06e-9
3632,416.14,173.42,1.9e-8
3633,429.18,179.52,1.61e-9
3635,405.53,167.99,1.03e-8
3660,462.81,195.15,3.83e-9
3666,462.81,195.15,3.83e-9
3670,358.16,134.08,5.2e-7
3671,427.73,178.84,8.11e-9
3673,314.5,108.17,1.54e-5
3677,247.75,59.59,7.33e-5
3681,384.54,149.73,1.24e-8
3682,376.03,129.51,8.35e-8
3683,384.54,149.73,1.24e-8
3684,376.03,129.51,8.35e-8
3685,468.93,198.08,7.03e-11
3686,306.47,55.34,7.25e-4
3696,312.39,102.93,1.62e-5
3699,327.54,77.82,1.41e-4
3700,429.8,179.81,6.96e-9
3720,299.46,66.37,5.72e-5
3726,367.34,121.08,5.67e-6
3737,306.04,88.57,1.2e-5
3740,306.04,88.57,1.2e-5
3759,605.46,261.86,2.53e-16
3771,620.56,268.91,4.47e-14
3773,555.6,238.57,5.15e-12
3780,343.17,109.8,7.74e-6
3785,736.69,323.16,2.61e-21
3794,701.86,306.89,5.7e-20
3800,369.32,125.59,4.54e-6
3809,661.4,287.99,1.98e-18
3810,440.11,171.54,3.67e-10
3813,263.48,62.95,0.01
3815,361.19,119.14,8.34e-6
3816,263.48,62.95,0.01
3828,640.29,278.13,1.25e-17
3834,356.33,125.58,2.4e-6
3836,360.48,132.26,2.19e-7
3840,568.87,244.77,1.53e-15
3844,568.87,244.77,1.53e-15
3845,655.39,285.18,1.99e-16
3846,527.45,225.42,3.91e-11
3847,545.44,233.83,1.07e-11
3850,485.49,197.96,9.6e-10
3851,367.81,138.13,5.97e-9
3853,428.25,156.85,7.59e-8
3854,703.64,307.72,4.87e-20
3855,573.84,247.09,3.78e-15
3856,585.02,252.31,1.46e-15
3857,378.84,136.27,4.78e-7
3858,367.66,119.6,5.78e-6
3872,504.42,204.27,2.69e-10
3873,382.94,130.45,4.29e-6
3875,504.42,204.27,2.69e-10
3877,568.87,244.77,1.53e-15
3878,480.92,184.24,1.81e-9
3880,512.83,218.59,1.11e-10
3883,356.72,126.5,3.25e-7
3884,370.49,136.12,3.27e-6
3890,451.39,189.89,2.82e-10
3891,440.21,184.67,6.8e-10
3894,390.8,146.01,1.81e-7
3895,416.55,173.62,4.32e-9
3897,390.8,146.01,1.81e-7
3904,281.73,65.8,0.00212
3906,533.38,228.19,3.95e-13
3908,295.83,80.12,5.26e-5
3910,533.38,228.19,3.95e-13
3920,420.94,162.11,6.95e-10
3921,377.49,135.37,6.53e-8
3925,698.09,305.13,1.38e-16
3938,388.01,142.72,1.05e-6
3940,412.29,167.5,2.73e-9
3960,445.12,175.41,4.79e-8
3972,452.55,171.8,1.69e-10
3973,398.53,148.11,1.33e-10
3977,398.53,148.11,1.33e-10
3982,472.94,199.96,5.11e-11
3984,472.94,199.96,5.11e-11
3995,488.01,207,1.54e-11
4025,457.21,192.61,7.68e-11
4032,528.04,225.7,3.49e-14
4035,382.49,134.25,9.35e-9
4036,676.32,294.96,2.06e-20
4037,426.56,178.29,8.84e-9
4039,402.91,167.24,5.02e-8
4040,334.64,109.57,4.49e-5
4041,416.69,172.96,9.57e-8
4089,510.67,217.58,2.49e-12
4091,313.42,95.65,2.33e-5
4099,262.9,15.76,0.0228
4100,573.2,246.79,1.14e-13
4101,284.58,74.88,1.22e-4
4102,262.9,15.76,0.0228
4107,326.09,101.6,8.65e-5
4109,297.76,83.52,6.06e-4
4123,392.57,248.87,2.62e-7
4124,298.03,93.83,7.03e-6
4125,392.57,248.87,2.62e-7
4126,287.54,69.48,1.61e-4
4127,298.03,93.83,3.1e-5
4128,326.33,117.73,1.48e-6
4129,274.3,71.55,4.47e-4
4130,283.34,77.37,1.44e-4
4131,530.17,226.69,4.5e-14
4132,370.93,150.89,2.19e-6
4133,458.31,181.99,1.03e-11
4134,358.84,116.42,5.52e-5
4136,392.44,106.92,9.63e-6
4138,496.87,188.12,7.76e-8
4144,332.75,104.71,2.69e-6
4161,382.46,146.69,3.51e-8
4162,382.46,146.69,3.51e-8
4165,384.25,138.62,3.13e-9
4166,453.92,191.08,7.12e-9
4167,595.43,257.18,2.83e-13
4168,442.32,185.66,1.6e-8
4175,736.44,323.05,7.57e-18
4179,181.22,-21.97,1.01
4191,536.47,229.63,2.05e-11
4195,290.74,33.34,6.57e-4
4197,510.52,217.51,7.69e-14
4199,453.2,190.74,2.33e-8
4205,545.11,233.67,5.27e-11
4206,290.49,81.22,3.01e-4
4220,435.65,182.54,3.72e-10
4224,508.1,216.38,1.75e-12
4227,842.18,349.84,5.63e-27
4229,518.28,221.14,1.35e-12
4243,411.94,156.54,1.08e-6
4249,200.58,20.76,0.449
4251,200.58,20.76,0.449
4254,562.47,241.78,4.56e-11
4255,513.94,219.11,3.13e-10
4261,554.89,238.24,4.45e-13
4266,472.02,199.53,2.3e-12
4270,135.84,-39.66,3.65
4276,593.68,256.36,9.74e-14
4278,593.68,256.36,9.74e-14
4281,260.98,39.14,0.0113
4283,340.65,119.92,1.94e-6
4297,169.36,-31.15,1.15
4300,169.36,-31.15,1.66
4306,256.96,55.96,0.0106
4307,263.57,55.76,0.0197
4309,275.55,24.45,0.0068
4311,220.09,-3.15,0.0328
4313,164.35,-40.02,1.78
4316,113.89,-65.08,9.13
4320,221.63,12.84,0.0303
4329,239.89,-10.78,0.0159
4332,288.43,14.83,0.0036
4338,464.36,195.95,5.26e-12
4339,429.52,179.68,2.77e-11
4340,695.74,304.03,1.65e-16
4341,453.18,190.73,6.42e-11
4344,481.19,203.81,4.97e-9
4346,478.12,202.38,1.31e-9
4347,720.48,315.59,6.39e-20
4348,498.91,212.09,9.55e-13
4349,478.12,202.38,1.31e-9
4350,501.77,213.43,2.45e-10
4352,685.65,299.32,1.25e-18
4354,533.75,228.36,1.12e-13
4355,680.21,296.78,1.43e-20
4356,685.65,299.32,1.25e-18
4362,48.73,-87.99,743
4366,489.93,207.89,7.71e-14
4367,432.24,278.99,1.94e-9
4372,432.24,278.99,1.94e-9
4418,252.66,49.38,2.07e-4
4423,521.35,222.57,2.23e-12
4442,449.23,188.88,7.52e-9
4451,471.9,199.47,5.55e-11
4479,507.85,216.26,3.24e-10
4495,NA,NA,NA
4507,429.52,179.68,1.57e-9
4509,407.16,153.22,2.74e-7
4511,359.85,116.78,1.43e-5
4512,394.69,151.33,1.25e-7
4513,394.69,151.33,1.25e-7
4516,522.85,223.27,9.29e-13
4517,499.19,212.22,2.19e-13
4518,534.03,228.49,3.75e-13
4519,499.19,212.22,6.27e-12
4521,464.36,195.95,1.01e-10
4522,430.81,173.47,4.25e-8
4524,515.35,219.77,2.23e-14
4527,550.19,236.04,4.09e-15
4528,585.02,252.31,6.84e-17
4531,495.3,210.41,1.76e-12
4534,425.63,177.86,2.13e-9
4536,484.12,205.18,1.14e-11
4539,471.04,199.07,5.94e-11
4540,531.64,227.38,1.34e-13
4542,712.02,311.64,4.1e-21
4543,531.64,227.38,1.34e-13
4546,505.88,215.34,3.66e-12
4548,436.21,182.8,9.3e-10
4551,NA,NA,NA
4552,467.47,197.4,1.26e-11
4553,453.18,190.73,2.45e-10
4555,407.16,153.22,2.74e-7
4556,453.18,190.73,2.45e-10
4559,359.85,116.78,9.52e-6
4561,669.03,291.55,4.06e-20
4563,464.36,195.95,1.01e-10
4564,464.36,195.95,1.01e-10
4565,401.94,166.79,1.27e-9
4575,312.35,100.07,6.5e-6
4580,418.34,171.58,1.71e-9
4586,506.31,215.55,1.77e-10
4612,415.09,274.49,1.37e-9
4613,624.05,270.55,3.45e-14
4619,438.42,183.83,5.14e-9
4621,507.23,215.98,3.74e-10
4629,328.74,106.95,2.59e-5
4637,282.13,-1.74,0.00254
4670,416.12,158.43,8.15e-10
4671,332.23,118.01,0.03
4672,379.78,128.37,7.14e-7
4682,460.47,194.13,2.86e-11
4685,247.51,57.34,0.032
4698,322.91,89.45,1.37e-4
4700,392.77,132.06,1.25e-5
4703,566.55,316.67,2.85e-13
4710,215.57,-0.5,0.197
4730,425.71,255.52,2.43e-9
4735,247.71,32.85,0.00347
4737,229.45,24.72,0.0133
4744,111.74,-68.43,18.3
4746,215.57,-0.5,0.187
4748,228.21,-12.16,0.0169
4752,192.33,-5.6,0.0854
4754,203.89,28.07,0.721
4759,134.87,-56.05,5.67
4760,203.89,28.07,0.0107
4762,254.39,33.14,0.00898
4763,217.44,-26.74,0.0913
4764,232.67,-8.31,0.068
4765,203.89,28.07,0.0107
4766,248.97,-6.1,0.0463
4767,248.6,15.84,0.00268
4769,266.06,4.53,0.0232
4770,201.51,-10.41,0.354
4771,280.52,70.91,1.75e-7
4772,363.59,145.55,4.08e-7
4773,224.85,5.81,0.0243
4774,408.1,262.22,5.52e-9
4775,408.1,262.22,5.52e-9
4779,424.13,156.01,6.5e-10
4788,385.38,146.18,2.92e-8
4805,143.25,-55.62,1.97
4821,170.16,-12.39,0.409
4835,334.92,123.43,3.14e-5
4850,408.1,262.22,8.03e-9
4852,66.97,-89.16,49.6
4865,212.98,-1.82,0.37
4866,330.56,94.32,6.65e-5
4868,199.74,21.87,0.183
4869,622.07,269.62,3.15e-18
4874,164.5,-64.07,2.68
4883,730.28,320.17,6.01e-19
4889,243.61,28.43,0.0355
4894,707.19,309.38,1.28e-20
4895,359.34,228.35,1.1e-6
4896,148.37,-19.84,4.91
4898,829.77,349.84,7.8e-20
4900,455.67,182.71,5.73e-8
4901,317.12,96.33,1.59e-4
4908,714.05,312.59,5.96e-22
4910,214.38,12.36,0.0196
4914,157.25,-13.62,2.09
4917,425.71,255.52,2.43e-9
4925,149.52,18.41,2.21
4927,414.14,294.42,4.68e-8
4930,334.71,23.85,6.08e-4
4963,478.87,202.73,1.35e-8
4966,394.69,151.33,1.25e-7
4968,576.9,124.63,1.15e-10
4976,655.82,285.38,4.8e-18
4983,18.82,-109.9,1680
4984,177.28,-33.9,1.1
4989,843.85,349.84,7.01e-24
4992,364.56,134.66,1.57e-7
4993,123.17,-61.49,3.84
4998,398.88,266.47,1.16e-7
5003,1864.82,349.84,0
5005,146.91,7.28,7.29
5010,167.66,-40.76,1.45
5016,254.57,-17.46,0.0349
5020,201.5,-4.15,0.295
5028,389.19,132.36,1.52e-5
5030,484.97,205.58,1.13e-10
5031,217.31,-0.69,0.0634
5032,959.87,349.84,3.01e-31
5040,532.99,228.01,4.08e-13
5042,352.73,215.34,7.88e-9
5043,485.46,171.12,1.97e-9
5048,292.61,69.58,8.24e-5
5050,498.15,211.73,6.81e-12
5052,580.47,120.75,1.04e-10
5054,580.94,250.41,8.04e-15
5060,285.25,84.12,4.12e-6
5064,347.74,218.2,2.62e-7
5074,507.44,216.07,1.02e-12
5082,258.98,26.16,0.0271
5090,351.87,218.02,2.97e-8
5098,377.86,146.32,3.92e-7
5099,174.13,8.14,1.56
5105,521.8,222.78,1.01e-12
5110,737.82,323.69,6.3e-23
5112,587.62,112.98,1.71e-11
5114,406.61,154.46,2.74e-7
5116,585.38,195.67,1.8e-11
5120,542.32,232.37,1.34e-11
5123,468.1,197.7,2.05e-11
5124,364.88,217.01,5.84e-7
5127,269.4,36.64,0.013
5132,452.9,58.85,1.14e-6
5153,348.64,199.27,6.73e-7
5157,339.03,99.5,4.52e-5
5159,419.55,148.3,2.77e-6
5165,285.66,64.74,0.00177
5168,462.12,185.83,5.12e-9
5171,228.95,-2.09,0.131
5176,204.2,22.66,0.0286
5177,497.68,211.52,7.08e-12
5178,392.77,132.06,1.05e-6
5185,655.26,285.12,7.04e-19
5188,216.9,13.47,0.0263
5197,321.48,112.71,2.93e-6
5198,157.25,-13.62,4.02
5199,381.57,146.13,1.37e-6
5206,350.19,107.94,4.18e-5
5207,136.95,-49.96,2.65
5209,262.61,49.1,4.57e-4
5211,262.61,49.1,4.57e-4
5226,265.13,53.47,0.0112
5233,431,296.88,3.18e-8
5238,261.11,-17.22,0.025
5244,820.3,349.84,3.43e-26
5248,204.05,-11.39,0.0832
5249,380.28,138.67,4.13e-7
5253,433.26,181.42,1.17e-9
5260,467.27,192.89,2.78e-8
5261,391.94,160.32,5.34e-7
5266,351.72,125.02,1.44e-6
5269,235.31,37.41,0.0194
5272,495.04,210.28,3.09e-13
5277,515.71,219.94,1.09e-11
5278,252.18,51.47,0.0534
5280,262.93,52.45,0.0227
5285,264.4,60.45,6.04e-4
5290,384.29,248.95,1.85e-9
5291,210.21,22.17,0.0289
5293,211.85,14.86,0.0427
5299,370.94,238.49,2.06e-7
5301,430.55,296.81,1.33e-8
5302,573.33,128.52,1.28e-10
5306,430.55,296.81,1.33e-8
5308,210.29,5.28,0.0312
5312,408.06,160.7,6.61e-10
5313,287,94.36,8.28e-4
5321,397.91,247.63,3.57e-8
5323,291.53,14.79,0.00358
5325,1248.81,349.84,1.18e-37
5333,364.88,217.01,5.84e-7
5334,62.74,-71.68,311
5339,401.67,140.41,1.08e-7
5340,244.05,43.06,0.0395
5343,347.74,218.2,2.62e-7
5345,384.88,158.25,8.35e-7
5350,316.12,112.75,1.13e-4
5351,468.09,197.69,1.37e-11
5353,499.16,212.2,6.28e-12
5356,366.48,33.75,5.35e-5
5357,108.96,-67.54,32.9
5369,380.68,132.79,1.33e-7
5377,503.34,214.16,4.49e-12
5379,341.74,107.99,8.8e-6
5382,220.98,33.27,0.00792
5385,452.55,171.8,1.62e-10
5390,220.98,33.27,0.00792
5400,141.81,-21.55,7.36
5401,141.81,-21.55,7.36
5403,309.39,35.04,0.00181
5405,840.1,349.84,6.69e-27
5415,357.29,48.14,3.22e-6
5416,357.29,48.14,3.22e-6
5417,300.46,79.68,5.74e-4
5425,355.84,130.2,9.68e-8
5428,319.43,73.61,4.62e-4
5432,288.57,92.83,1.11e-5
5433,190.8,15.69,0.244
5435,496.81,211.11,2.46e-12
5437,659.96,287.32,9.45e-20
5442,593.63,256.33,2.81e-15
5443,289.49,88.36,2.34e-5
5453,390,138.48,1.04e-6
5469,737.7,323.64,6.37e-23
5471,323.88,110.76,3.29e-5
5476,403.86,137.31,4.95e-7
5479,113.62,-69.69,24.6
5480,242.08,38.67,0.0478
5485,325.09,96.38,1.04e-4
5487,325.84,94.61,3.15e-4
5490,165.68,-11.22,0.686
5491,125.72,-59.17,23.7
5493,662.36,288.44,7.5599999999999994e-20
5494,307.31,94.12,2.84e-4
5500,248.39,28.22,0.0437
5501,228.77,25.7,0.0115
5502,258.98,26.16,0.0271
5504,275,50.56,3.85e-4
5512,362.41,116.11,6.69e-5
5514,356.14,70.75,9.44e-5
5515,296.36,82.57,2.27e-4
5525,382.49,134.25,9.35e-9
5528,16.06,-106.24,1470
5529,168.64,25.52,3.18
5533,321.11,41.51,6.73e-4
5534,277.08,22.52,0.00696
5540,262.85,33.6,0.0115
5547,291.92,20.98,5.92e-4
5548,526.9,225.16,6.69e-13
5554,338.41,128.34,2.89e-7
5572,474.03,200.47,4.69e-11
5573,889.92,349.84,1.07e-28
5574,171.06,12.85,1.01
5586,253.93,24.89,0.0361
5589,495.3,210.41,1.76e-12
5592,329.8,112.1,1.04e-6
5594,343.86,122.26,1.73e-6
5596,480.88,203.67,2.38e-10
5604,286.47,70.42,1.19e-4
5607,286.47,70.42,1.19e-4
5612,225.89,34.11,0.107
5613,150.8,-15.3,1.78
5617,150.8,-15.3,1.78
5619,225.89,34.11,0.107
5626,423.12,148,1.27e-7
5627,382.05,132.96,8.21e-6
5629,379.57,137.45,4.44e-7
5633,445.86,299.05,4.6e-9
5642,449.9,164.24,1.83e-8
5644,388.35,288.46,3.35e-7
5646,338.41,128.34,1.82e-7
5648,396.49,252.07,9.14e-9
5650,122.3,-21.26,17.2
5651,424.65,172.2,6.23e-8
5660,283.95,76.12,3.71e-5
5664,446.96,187.82,4e-10
5674,216.25,20.87,0.159
5678,385.62,132.66,5.13e-5
5685,270.56,35.48,0.0153
5687,454.02,171.77,1.18e-8
5688,228.26,37.01,0.0228
5690,414.34,153.63,3.56e-8
5692,234.81,3.01,0.0608
5701,77.91,-82.08,98.3
5703,1078.85,349.84,3.54e-33
5705,423.12,148,1.27e-7
5708,148.29,-40.69,6.62
5709,387.85,142.61,2.57e-6
5718,287.06,22.06,0.00387
5719,415.7,155.13,1.61e-7
5722,375.67,127.23,1.62e-8
5730,217.88,-0.75,0.183
5732,97.33,-57.81,44.5
5736,538.64,230.65,6.23e-15
5737,296.47,79.28,5.15e-5
5738,432.76,162.07,1.79e-7
5742,754.55,331.5,1.29e-23
5743,348.48,124.48,1.18e-7
5744,145.02,-8.99,6.04
5746,483.71,204.99,8.8e-10
5747,300.29,96,4.99e-5
5750,506.92,215.83,1.7e-10
5752,434.62,167.31,4.02e-8
5762,246.91,62.97,0.0056
5763,714.05,312.59,5.96e-22
5766,156.76,-34.4,0.172
5771,100.9,-24.95,35.9
5772,419.28,155.78,2.81e-6
5776,292.61,69.58,8.24e-5
5778,292.61,69.58,8.24e-5
5780,392.77,132.06,4.53e-6
5781,515.69,219.93,1.66e-12
5782,296.61,76.69,2.17e-5
5790,186.79,28.17,0.693
5791,461.24,301.29,2.6200000000000003e-10
5793,306.03,108.74,1.49e-6
5796,351.74,125.3,9.84e-6
5800,434.41,167.83,1.6e-10
5802,258.99,60.21,2.47e-4
5808,380.28,244.05,2.68e-8
5809,334.51,109.13,4.2e-6
5811,564.83,242.88,2.48e-13
5812,670.6,292.29,3.51e-20
5820,502.87,213.94,7.53e-13
5821,190.8,15.69,0.167
5822,658.05,330.02,7.72e-16
5825,205.07,-28.33,0.254
5834,405.25,149.51,1.45e-4
5838,272.76,68.62,0.00318
5840,410.18,170.64,2.9e-9
5841,473.66,170.08,2e-7
5845,410.18,170.64,2.9e-9
5847,270.6,61.93,0.00381
5851,500.04,212.62,1.19e-9
5852,462.06,161.05,3.41e-7
5855,335.28,99.73,2.6e-4
5857,399.96,292.35,4.48e-8
5861,399.96,292.35,4.48e-8
5863,299.13,23.54,0.00374
5866,1285.32,349.84,1.89e-43
5873,380.28,244.05,2.68e-8
5874,434.26,297.36,8.32e-8
5876,403.05,151.36,9.28e-10
5882,426.8,296.27,4.42e-9
5884,530.13,226.67,3.23e-11
5885,187.75,14.76,0.717
5889,376.75,278.31,1.7e-7
5891,194.73,6.67,1.42
5893,352.56,80.09,1.15e-4
5894,175.55,-18.69,1.2
5907,766.03,336.87,5.67e-23
5912,200.67,-14.46,0.099
5919,867.5,349.84,6.9e-28
5921,46.01,-106.92,512
5927,209.98,26.56,0.0247
5928,178.34,-28.15,1.14
