molecule_id,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,aromatic_rings_count,fractioncsp3,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
56810,62.46,1,4,2,3,0,30,253.26,2.74,3,FALSE
56818,60.28,3,4,1,3,0.17,38,309.32,3.97,4,FALSE
56821,161.21,5,11,4,0,0.67,51,414.36,-2.3,4,TRUE
56824,139.57,3,9,3,4,0.1,43,398.32,2.7,4,FALSE
56826,43.37,0,3,0,0,0.6,36,246.31,2.28,3,FALSE
56836,168.28,6,11,5,2,0.59,61,468.46,-0.81,4,TRUE
56841,57.53,1,3,2,0,0.95,55,320.47,3.32,4,FALSE
56846,37.3,2,1,1,0,0.67,39,234.34,3.79,2,FALSE
56847,51.8,1,4,1,3,0.21,40,322.34,2.79,5,FALSE
56850,199.9,12,14,5,1,0.75,132,871.07,4.9,7,TRUE
56851,75.99,2,5,2,2,0.19,35,286.28,2.47,3,FALSE
56852,89.13,2,6,2,3,0.39,64,462.54,6.15,5,FALSE
56855,0,0,0,0,0,0.73,39,204.36,4.87,2,FALSE
56857,138.82,4,9,4,3,0.17,43,376.32,2.31,3,FALSE
56860,20.23,2,1,1,0,0.8,53,288.48,5.11,3,FALSE
56867,17.07,1,1,0,0,0.67,38,218.34,3.9,2,FALSE
56871,100.13,2,6,3,3,0.12,37,314.29,2.89,3,FALSE
56872,76.36,6,7,0,3,0.25,47,372.37,3.5,3,FALSE
56875,32.86,1,1,1,3,0,24,195.22,3.13,3,FALSE
56882,66.38,3,6,1,2,0.4,46,356.37,3.2,5,FALSE
56885,156.91,5,8,6,1,0.4,42,342.3,-1.33,2,TRUE
56886,79.29,0,5,2,0,0.8,40,280.32,0.39,4,FALSE
56891,162.98,8,9,5,2,0.25,58,472.45,0.93,3,TRUE
56894,37.3,0,2,1,0,0.76,73,422.65,6.8,5,FALSE
56901,100.13,1,6,3,3,0.15,42,352.34,3.76,4,FALSE
56906,46.53,4,3,1,0,0.76,58,334.5,4.66,2,FALSE
56907,40.46,7,2,2,0,0.6,43,238.37,3.37,0,FALSE
56908,77.38,4,6,2,2,0.4,48,358.39,3.19,4,FALSE
56909,119.61,8,7,5,0,0.6,53,378.42,-1.08,1,TRUE
56914,41.93,1,4,1,1,0.56,43,299.37,1.5,5,FALSE
56925,57.53,2,2,2,0,0.8,66,386.58,5.59,4,FALSE
56926,33.37,0,2,1,1,0.6,37,232.32,3.06,3,FALSE
56927,96.22,2,6,3,2,0.19,36,302.28,2.52,3,FALSE
56932,57.61,7,2,1,0,0.71,43,462.03,5.25,0,FALSE
56933,239.33,2,12,8,5,0,44,470.3,1.79,5,FALSE
56950,29.46,12,2,1,1,0.79,81,430.72,8.84,2,FALSE
56952,260.65,3,10,11,0,0.7,44,411.35,-5.71,3,FALSE
56961,99.38,4,6,4,3,0.1,44,354.36,3.86,3,FALSE
56967,125.04,2,5,3,1,0,18,200.1,-0.26,1,FALSE
56970,124.29,0,7,4,0,0.79,52,366.41,-0.59,4,FALSE
56971,120.36,2,7,4,3,0.06,35,316.27,2.29,3,FALSE
57001,153.75,5,8,5,1,0.41,46,368.34,-0.34,2,FALSE
57018,63.93,0,4,3,0,0.9,51,329.44,0.76,9,FALSE
57019,89.13,3,6,2,3,0.29,54,408.45,5.01,4,FALSE
57020,75.99,6,4,2,2,0.24,40,302.33,2.89,2,FALSE
57032,96.59,6,8,1,3,0.25,48,388.37,3.21,3,FALSE
