molecule_id,vp_est,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
525885,7.42e-23,109,667.01,12.44,1,FALSE
525889,1.5e-15,103,558.94,11.78,6,FALSE
236645,8.140000000000001e-27,80,538.65,-2.12,3,FALSE
243256,3.89e-26,110,696.92,6.41,3,FALSE
525894,5.9e-19,82,584.66,3.77,7,FALSE
525898,4.45e-29,99,784.63,7.57,2,FALSE
525899,7.43e-20,88,646.69,2.41,6,FALSE
526038,1.93e-20,96,548.85,8.04,0,FALSE
525901,5.0600000000000005e-21,43,491.14,1.96,2,FALSE
525902,1.39e-12,81,456.71,6.77,4,FALSE
525904,5.52e-30,107,814.7,8.72,2,FALSE
525905,7.96e-22,56,399.49,-2.67,1,FALSE
525906,2.2799999999999998e-32,129,883.05,6.94,4,FALSE
525907,1.1e-34,142,985.14,6.49,4,FALSE
525908,1.03e-18,68,500.54,2,6,FALSE
525910,1.1099999999999999e-23,43,604.2,3.35,2,FALSE
525911,7.42e-23,109,667.01,12.44,1,FALSE
525913,3.79e-10,78,476.65,5.32,4,FALSE
236657,4.92e-13,47,354.36,-1.3,4,FALSE
236658,9.91e-14,67,450.58,4.56,4,FALSE
525916,3.14e-20,106,602.94,11.94,1,FALSE
516742,6.42e-14,40,328.32,2.51,3,FALSE
525917,6.9e-17,87,534.8,9.35,1,FALSE
525919,2.38e-7,65,408.54,4.2,4,FALSE
525922,2.7e-11,65,400.56,5.82,3,FALSE
236665,1.5699999999999994e-23,69,495.57,3.58,4,FALSE
126820,2.82e-13,34,256.26,-1.29,1,FALSE
525923,1.16e-9,64,384.56,5.64,4,FALSE
525924,6.36e-9,65,370.58,7.09,2,FALSE
243327,4.72e-10,29,254.24,2.18,3,FALSE
236673,7.02e-9,43,320.34,2.57,3,FALSE
667348,1.4e-4,52,272.48,6.29,3,FALSE
525928,1.16e-9,64,384.56,5.64,4,FALSE
525929,1.91e-12,71,428.61,5.39,4,FALSE
525930,2.18e-17,77,464.64,2.14,5,FALSE
525932,1.92e-21,80,562.71,4.72,4,FALSE
525934,4.789999999999999e-23,51,810.91,8,4,FALSE
236683,8.39e-14,81,568.66,4.74,6,FALSE
525936,7.03e-35,64,674.57,3.58,6,FALSE
525938,9.6e-36,70,702.62,4.22,6,FALSE
525941,1.66e-24,48,875.78,8.46,4,FALSE
243362,8.79e-18,49,480.41,2.77,1,FALSE
525947,0,184,1311.43,-6.6,10,TRUE
525949,0,157,1151.21,-6.15,9,TRUE
525951,0,163,1175.28,-4.32,9,TRUE
525955,1.5e-35,111,744.92,-1.29,5,TRUE
525956,0,161,1143.28,-3.22,9,TRUE
525957,1.16e-19,100,604.87,7.94,6,FALSE
525960,9.53e-18,86,614.69,3.84,8,FALSE
525962,1.05e-16,84,586.68,3.95,8,FALSE
525963,7.52e-12,108,578.97,11.49,5,FALSE
525965,1.16e-19,100,604.87,7.94,6,FALSE
525966,3.71e-14,78,584.62,3.26,6,FALSE
126974,1.34e-8,34,257.29,1.77,3,FALSE
525970,2.72e-13,61,392.54,5.64,5,FALSE
236695,2.86e-11,67,488.53,2.72,4,FALSE
525971,3.25e-20,99,618.86,8.03,6,FALSE
525972,2.96e-9,54,339.48,5.87,4,FALSE
525973,4.58e-13,63,394.56,5.58,5,FALSE
525974,7.07e-24,102,654.89,10.57,7,FALSE
525975,4.96e-12,68,410.6,7.16,3,FALSE
525978,1.71e-15,74,401.66,5.79,2,FALSE
525979,5.22e-12,64,422.52,2.83,4,FALSE
127020,6.11e-8,15,135.13,-0.06,2,FALSE
525980,4.12e-12,67,436.55,3.02,4,FALSE
525983,8.72e-13,66,420.55,3.79,5,FALSE
236707,5.84e-27,70,488.54,-3.3,1,FALSE
243440,2.66e-17,54,402.4,-2.53,3,TRUE
525985,8.45e-15,71,466.57,2.58,4,FALSE
525986,4.12e-8,59,406.48,3.26,5,FALSE
309736,8.07e-28,130,833.02,3.5,3,TRUE
537003,2.12e-8,38,331.21,1.43,4,FALSE
236713,2.56e-33,127,1126.93,7.41,5,FALSE
525987,1.3e-14,76,508.61,3.15,4,FALSE
525989,1.89e-13,63,398.54,6.96,2,FALSE
525990,1.1e-10,74,424.62,5.44,3,FALSE
320249,4.1e-15,83,488.71,5.18,4,FALSE
525995,5.31e-13,60,384.52,6.57,2,FALSE
309762,3.02e-11,56,350.5,6.12,2,FALSE
127259,1.7099999999999998e-23,62,457.55,-0.34,2,FALSE
525999,1.36e-20,67,516.7,2.74,2,FALSE
526000,9.73e-15,71,432.6,3.84,6,FALSE
526001,1.06e-33,177,1076.46,7.74,1,FALSE
526002,2.59e-11,70,442.6,5.81,2,FALSE
526003,1.4e-42,178,1127.47,5.37,1,FALSE
236727,3.7e-27,66,572.52,2.79,8,FALSE
127250,9.08e-24,112,888.37,10.17,4,FALSE
127252,9.32e-17,47,355.44,-1.38,3,FALSE
526004,2.54e-8,50,320.5,4.13,3,FALSE
526006,1.24e-11,74,472.62,4.62,6,FALSE
537006,2.08e-13,25,253.17,-0.38,2,FALSE
526008,1.2399999999999998e-29,118,808.06,3.39,5,FALSE
526009,0,198,1351.6,0.9,5,FALSE
526010,1.51e-36,91,806.56,1.67,4,FALSE
526016,3.89e-31,142,786.19,8.16,1,TRUE
526017,1.54e-31,138,782.16,7.86,1,TRUE
526019,5.779999999999999e-32,141,796.18,8.25,1,TRUE
526021,2.08e-33,94,700.74,1.04,4,TRUE
537008,4.31e-7,16,435.28,4.95,2,FALSE
526023,0,202,1211.62,4.47,3,TRUE
526024,0,196,1183.57,3.69,3,TRUE
526025,5.93e-18,96,508.84,4.72,0,FALSE
526026,0,205,1225.65,4.86,3,TRUE
526027,1.41e-28,148,810.18,2.36,0,FALSE
526028,1.2200000000000002e-27,146,739.28,8.35,0,FALSE
526029,2.08e-33,94,700.74,1.04,4,TRUE
526031,5.58e-29,148,810.18,2.65,0,FALSE
526032,2.08e-33,94,700.74,1.04,4,TRUE
526033,4.54e-20,119,623.06,12.74,0,FALSE
526035,2.26e-19,83,502.74,6.09,0,FALSE
526036,2.01e-17,82,486.74,7.12,0,FALSE
526037,1.44e-16,88,496.78,8.93,0,FALSE
526039,4.45e-18,100,548.9,10.34,0,FALSE
526044,0,147,1031.18,-3.15,3,FALSE
243562,5.0099999999999997e-23,46,479.38,0.63,1,FALSE
236749,7.29e-15,69,460.57,3.64,4,FALSE
526045,3.479999999999999e-38,119,877.88,3.04,3,FALSE
526046,2.7e-11,90,468.81,8.24,5,FALSE
526048,2.88e-13,60,405.97,4.33,4,FALSE
526049,5.24e-9,70,382.64,5.82,5,FALSE
526050,9.55e-29,83,636.74,-2.8,4,FALSE
526051,2.7e-11,90,468.81,8.24,5,FALSE
526053,1.19e-23,95,678.22,4.16,5,FALSE
526054,1.33e-17,79,466.66,2.39,4,FALSE
526055,1.7799999999999994e-24,109,617.98,8.14,0,FALSE
526056,6.73e-30,89,596.76,-0.49,4,FALSE
526059,1.55e-29,86,582.73,-0.88,4,FALSE
236750,5.15e-11,47,517.13,6.62,1,FALSE
236751,1.93e-12,55,472.36,4.97,1,FALSE
526060,0,173,1237.35,-5.38,9,TRUE
526062,3.7799999999999996e-34,87,785.03,3.25,12,FALSE
526064,9.4499999999999992e-21,54,443.46,0.91,8,FALSE
236753,5.15e-11,47,517.13,6.62,1,FALSE
526065,4.12e-8,61,373.61,6.37,2,FALSE
526066,1.24e-12,80,526.11,5.35,2,FALSE
236757,2.18e-22,58,456.5,2.99,7,FALSE
526068,4.12e-8,61,373.61,6.37,2,FALSE
526071,0,203,1473.73,4.89,7,FALSE
526072,0,196,1392.64,4.04,7,FALSE
526075,1.72e-9,63,429.44,5.64,2,FALSE
526076,0.00244,24,202.16,-0.27,0,FALSE
526077,0.028,27,216.19,-0.18,0,FALSE
526078,1.3e-18,92,739.45,7.35,3,FALSE
526079,8.3e-14,39,560.97,3.21,1,FALSE
526080,4.29e-10,64,344.54,4.61,0,FALSE
526081,3.68e-18,65,980.96,11.1,3,FALSE
526082,1.33e-14,80,474.68,5.08,4,FALSE
526272,2.16e-25,114,709.97,6.9,6,FALSE
243594,1.05e-21,100,740.75,1.42,3,FALSE
526085,2.1e-7,63,324.55,7.13,0,FALSE
526089,1.33e-16,76,512.16,5.62,1,FALSE
526090,1.48e-13,77,524.17,6.4,1,FALSE
526093,1.7799999999999994e-24,73,577.59,0.54,5,FALSE
526095,3.8799999999999995e-37,133,889.24,3.64,2,FALSE
