molecule_id,source_type,reference_doi,remarks,timestamp,input_type,conc_bsw,conc_sml,conc_ssa,direct_factor_value,direct_factor_type
1396,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:39:30.192731,Direct Factor,NA,NA,NA,1.9,Enrichment Factor (SML/BSW)
425158,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:40:31.69005,Direct Factor,NA,NA,NA,5,Enrichment Factor (SML/BSW)
425158,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:40:45.960973,Direct Factor,NA,NA,NA,321,Aerosolization Factor (SSA/SML)
6738,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:41:23.863025,Direct Factor,NA,NA,NA,82,Aerosolization Factor (SSA/SML)
6738,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:41:33.583882,Direct Factor,NA,NA,NA,5,Enrichment Factor (SML/BSW)
6983,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:42:32.825706,Direct Factor,NA,NA,NA,4,Enrichment Factor (SML/BSW)
6983,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:42:45.505144,Direct Factor,NA,NA,NA,122,Aerosolization Factor (SSA/SML)
5994,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:43:23.671233,Direct Factor,NA,NA,NA,104,Aerosolization Factor (SSA/SML)
5994,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:43:33.053305,Direct Factor,NA,NA,NA,5,Enrichment Factor (SML/BSW)
36050,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:44:11.475729,Direct Factor,NA,NA,NA,1.2,Enrichment Factor (SML/BSW)
36050,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:44:36.409109,Direct Factor,NA,NA,NA,24,Aerosolization Factor (SSA/BSW)
15234,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:44:54.584158,Direct Factor,NA,NA,NA,30,Aerosolization Factor (SSA/BSW)
15234,Wetlab,https://doi.org/10.1021/acs.est.6b02988,,2025-12-18 16:45:00.927225,Direct Factor,NA,NA,NA,1.8,Enrichment Factor (SML/BSW)
