molecule_id,cluster_e,cluster_a,aop_oh_half_life_hours,is_stable
309142,3,7,4.6080000000000005,TRUE
309875,3,7,3.5519999999999996,TRUE
309972,3,7,0.78,TRUE
310378,3,7,1.128,TRUE
310817,5_3,5_1,0.684,TRUE
311459,5_3,5_1,0.504,TRUE
165621,3,7,1.152,TRUE
696945,3,7,2.0759999999999996,TRUE
697167,3,7,0.516,TRUE
697009,1_2,2_1,0.5640000000000001,TRUE
696884,3,7,2.436,TRUE
697101,1_2,2_1,0.528,TRUE
697191,5_3,5_1,0.528,TRUE
697198,3,7,0.996,TRUE
697215,3,7,1.632,TRUE
697288,8,7,5.496,TRUE
697297,3,7,1.056,TRUE
697305,5_2,2_1,0.6000000000000001,TRUE
697379,1_2,4,0.8879999999999999,TRUE
697386,3,7,2.856,TRUE
697492,5_2,5_1,0.531,TRUE
697494,3,7,65.052,TRUE
697538,3,7,7.692,TRUE
697546,3,7,2.4000000000000004,TRUE
697561,3,7,2.1959999999999997,TRUE
697570,3,7,3.24,TRUE
697703,3,7,3.072,TRUE
697744,1_2,2_1,0.552,TRUE
697745,3,7,1.02,TRUE
697818,8,7,9.972,TRUE
697824,5_2,5_1,0.502,TRUE
697885,3,7,1.1880000000000002,TRUE
697915,1_2,2_1,0.504,TRUE
697946,8,7,4.632,TRUE
697968,3,7,0.984,TRUE
698022,3,7,2.0999999999999996,TRUE
698078,3,7,0.636,TRUE
698087,3,7,4.692,TRUE
698094,3,7,1.207,TRUE
698189,3,7,0.636,TRUE
698229,3,7,5.028,TRUE
698245,3,7,1.7879999999999998,TRUE
698303,3,7,4.343999999999999,TRUE
698309,3,7,33.576,TRUE
698312,3,7,2.52,TRUE
164792,3,7,1.368,TRUE
698381,3,7,1.224,TRUE
83022,3,7,16.344,TRUE
698442,3,7,2.349,TRUE
698459,3,7,7.284,TRUE
698481,3,7,1.032,TRUE
83418,3,7,0.5760000000000001,TRUE
698486,3,7,1.128,TRUE
698547,3,7,6.720000000000001,TRUE
698571,3,7,5.532,TRUE
698586,3,7,0.8999999999999999,TRUE
698588,3,7,7.404,TRUE
698589,3,7,1.596,TRUE
698592,3,7,2.16,TRUE
698603,3,7,1.524,TRUE
698642,3,7,1.14,TRUE
698653,1_2,2_1,0.5640000000000001,TRUE
698675,3,7,0.756,TRUE
698682,3,7,46.8,TRUE
698694,3,7,12.936,TRUE
698804,3,7,3.444,TRUE
698811,3,7,2.688,TRUE
698827,3,7,0.8400000000000001,TRUE
280784,5_3,4,0.5640000000000001,TRUE
658531,3,7,1.5,TRUE
85545,3,7,4.056,TRUE
281455,3,7,9.132,TRUE
234066,3,7,1.7999999999999998,TRUE
344553,3,7,3.648,TRUE
28499,3,7,0.8879999999999999,TRUE
77991,3,7,0.552,TRUE
45391,3,7,9.012,TRUE
704155,3,7,12.948,TRUE
79289,3,7,3.3480000000000003,TRUE
699419,3,7,3.924,TRUE
699217,3,7,11.988,TRUE
699314,5_2,5_1,0.552,TRUE
9103,3,7,4.38,TRUE
699957,3,7,1.26,TRUE
9880,3,7,4.404,TRUE
700265,3,7,0.996,TRUE
700313,5_2,5_1,0.531,TRUE
700590,3,7,3.72,TRUE
700591,3,7,3.72,TRUE
701345,3,7,1.812,TRUE
701486,3,7,2.364,TRUE
80698,3,7,2.544,TRUE
13777,3,7,5.532,TRUE
15183,3,7,17.016,TRUE
16072,3,7,1.703,TRUE
16503,3,7,3.18,TRUE
66181,3,7,0.636,TRUE
22414,3,7,2.052,TRUE
85823,3,7,3.4559999999999995,TRUE
3269,3,7,4.212,TRUE
5894,3,7,1.2120000000000002,TRUE
6099,3,7,4.692,TRUE
6887,3,7,3.12,TRUE
78076,3,7,64.176,TRUE
78069,8,7,3.444,TRUE
48621,3,7,1.008,TRUE
50859,3,7,1.536,TRUE
75450,3,7,2.173,TRUE
50742,3,7,3.564,TRUE
59458,3,7,0.636,TRUE
45526,3,7,9,TRUE
45540,3,7,11.58,TRUE
45570,3,7,60.492,TRUE
59468,3,7,1.032,TRUE
46897,3,7,3.876,TRUE
53823,3,7,1.476,TRUE
59493,5_2,4,0.648,TRUE
49755,3,7,2.7840000000000003,TRUE
164947,3,7,1.248,TRUE
78215,3,7,1.284,TRUE
406952,3,7,2.616,TRUE
127202,3,7,17.724,TRUE
45932,3,7,2.043,TRUE
45962,3,7,4.0200000000000005,TRUE
45975,3,7,0.5640000000000001,TRUE
46000,2_1,7,2.208,TRUE
46063,3,7,0.636,TRUE
54268,3,7,5.664,TRUE
46158,5_2,5_1,0.6000000000000001,TRUE
407399,5_2,5_1,0.5640000000000001,TRUE
46285,3,7,2.016,TRUE
46373,3,7,9.408,TRUE
46439,3,7,26.316000000000003,TRUE
407921,1_2,2_1,0.648,TRUE
17697,3,7,4.692,TRUE
127220,3,7,2.0759999999999996,TRUE
127224,3,7,2.0759999999999996,TRUE
409115,3,7,5.22,TRUE
46916,3,7,1.368,TRUE
409419,3,7,1.7759999999999998,TRUE
410265,3,7,4.644,TRUE
410595,3,7,90.324,TRUE
413578,3,7,3.3720000000000003,TRUE
414067,3,7,10.752,TRUE
51271,3,7,2.916,TRUE
47815,3,7,3.828,TRUE
