cluster,rank_med,rank_min,rank_max,med,n
8,1,1,4,1.21573059825894,2
5_3,2,1,4,0.6989700043360189,3
2_1,3,2,4,0.6427470800971786,7
1_2,4,2,4,0.6091364267857238,2
3,5,5,5,0.14852721348287612,26
5_2,6,6,6,0.0010782913121860985,2
